date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2008-07-31,1630,1680,1490,1540,733860000,0,0,0,0
2008-08-31,1530,1550,1240,1400,684029503,0,0,0,0
2008-09-30,1400,1400,490,680,144300024,0,0,0,0
2008-10-31,810,850,460,520,178875024,0,0,0,0
2008-11-30,510,550,460,485,220916506,0,0,0,0
2008-12-31,485,760,485,740,418575012,0,0,0,0
2009-01-31,730,890,710,770,202211009,0,0,0,0
2009-02-28,730,1000,710,880,231916012,0,0,0,0
2009-03-31,890,1060,880,1020,1214723500,0,0,0,0
2009-04-30,1060,1360,1000,1340,1294187006,0,0,0,0
2009-05-31,1380,1450,1050,1200,1433942009,0,0,0,0
2009-06-30,1200,1300,1070,1280,968765003,0,0,0,0
2009-07-31,1280,1520,1260,1360,2072729003,0,0,0,0
2009-08-31,1360,1440,1310,1430,1030316000,0,0,0,0
2009-09-30,1420,1630,1370,1540,1667318506,0,0,0,0
2009-10-31,1580,1770,1490,1740,2409525506,0,0,0,0
2009-11-30,1740,1780,1650,1730,1056732004,0,0,0,0
2009-12-31,1730,2075,1730,1890,2332183503,0,0,0,0
2010-01-31,1850,1960,1760,1830,2010715500,0,0,0,0
2010-02-28,1840,1980,1820,1960,2018508000,0,0,0,0
2010-03-31,2025,2250,1970,2200,2097459500,0,0,0,0
2010-04-30,2125,2175,1700,2000,1990892503,0,0,0,0
2010-05-31,1920,2100,1820,1990,1583917500,0,0,0,0
2010-06-30,1970,2100,1940,2000,1172618000,0,0,0,0
2010-07-31,2050,2150,1880,1900,1123265500,0,0,0,0
2010-08-31,1870,2150,1760,2025,1959904500,0,0,0,0
2010-09-30,2050,2300,2000,2100,1313177000,0,0,0,0
2010-10-31,2125,2500,2100,2325,1413930000,0,0,0,0
2010-11-30,2375,2650,2250,2550,899696000,0,0,0,0
2010-12-31,2675,2900,2225,2250,1475935500,0,0,0,0
2011-01-31,2400,2500,2250,2450,938502500,0,0,0,0
2011-02-28,2425,2475,2175,2200,1213987000,0,0,0,0
2011-03-31,2275,2350,2200,2200,1007151500,0,0,0,0
2011-04-30,2225,2475,2200,2450,1598196000,0,0,0,0
2011-05-31,2425,2500,2250,2450,740151000,0,0,0,0
2011-06-30,2500,2700,2450,2650,846484500,0,0,0,0
2011-07-31,2675,2700,1990,2025,1299444000,0,0,0,0
2011-08-31,2025,2125,1430,1720,1711172000,0,0,0,0
2011-09-30,1610,2150,1500,2025,1696466000,0,0,0,0
2011-10-31,1990,2150,1830,1910,1127965500,0,0,0,0
2011-11-30,1910,2025,1730,1770,880029500,0,0,0,0
2011-12-31,1760,1860,1750,1830,911829000,0,0,0,0
2012-01-31,1870,2025,1790,1920,1204611500,0,0,0,0
2012-02-29,1900,1980,1870,1930,856269500,0,0,0,0
2012-03-31,1960,1960,1770,1860,708391000,0,0,0,0
2012-04-30,1870,1870,1460,1470,776330000,0,0,0,0
2012-05-31,1380,1490,1180,1450,1256427000,0,0,0,0
2012-06-30,1560,1630,1320,1460,826506500,0,0,0,0
2012-07-31,1510,1610,1330,1370,565821500,0,0,0,0
2012-08-31,1390,1610,1350,1500,523704000,0,0,0,0
2012-09-30,1480,1490,1340,1370,664744500,0,0,0,0
2012-10-31,1370,1430,1320,1340,504658000,0,0,0,0
2012-11-30,1320,1610,1320,1590,683209003,0,0,0,0
2012-12-31,1590,1770,1590,1650,643920500,0,0,0,0
2013-01-31,1640,1680,1550,1570,528785500,0,0,0,0
2013-02-28,1560,1580,1250,1310,773955500,0,0,0,0
2013-03-31,1310,1370,1190,1230,570986000,0,0,0,0
2013-04-30,1200,1240,920,930,1017735000,0,0,0,0
2013-05-31,930,930,750,860,861097506,0,0,0,0
2013-06-30,850,860,670,700,1129037500,0,0,0,0
2013-07-31,700,940,640,930,1608683000,0,0,0,0
2013-08-31,920,1030,870,900,1446535504,0,0,0,0
2013-09-30,900,1130,890,1020,1161056000,0,0,0,0
2013-10-31,1010,1240,1010,1130,1689349500,0,0,0,0
2013-11-30,1120,1250,1040,1090,1015426500,0,0,0,0
2013-12-31,1090,1110,870,950,1642423900,0,0,0,0
2014-01-31,960,995,880,995,1172784300,0,0,0,0
2014-02-28,980,1040,945,980,1294851700,0,0,0,0
2014-03-31,985,1205,930,1185,1269000600,0,0,0,0
2014-04-30,1185,1320,1100,1225,1395501700,0,0,0,0
2014-05-31,1270,1340,1130,1175,1086165200,0,0,0,0
2014-06-30,1165,1210,1080,1185,1039915600,0,0,0,0
2014-07-31,1185,1350,1170,1315,1166769800,0,0,0,0
2014-08-31,1320,1390,1150,1175,886513000,0,0,0,0
2014-09-30,1160,1185,920,1135,1596405000,0,0,0,0
2014-10-31,1150,1150,980,1080,1107518700,0,0,0,0
2014-11-30,1080,1145,995,1040,1008305400,0,0,0,0
2014-12-31,1040,1050,925,1000,1061433900,0,0,0,0
2015-01-31,1000,1025,940,960,1339557200,0,0,0,0
2015-02-28,970,1035,935,950,1090498400,0,0,0,0
2015-03-31,955,990,835,875,640889600,0,0,0,0
2015-04-30,875,940,835,860,797704700,0,0,0,0
2015-05-31,880,925,755,760,532036600,0,0,0,0
2015-06-30,760,775,550,590,1139287600,0,0,0,0
2015-07-31,590,650,467,595,1257017800,0,0,0,0
2015-08-31,595,630,510,535,740357700,0,0,0,0
2015-09-30,515,710,515,595,1252941500,0,0,0,0
2015-10-31,600,660,525,550,751312100,0,0,0,0
2015-11-30,555,560,441,515,702418700,0,0,0,0
2015-12-31,515,540,437,525,700078600,0,0,0,0
2016-01-31,535,655,500,605,942095300,0,0,0,0
2016-02-29,610,800,610,645,1357886400,0,0,0,0
2016-03-31,645,770,645,730,842223900,0,0,0,0
2016-04-21,760,760,725,750,128642400,0,0,0,0
2016-04-22,750,760,735,745,62149600,0,0,0,0
2016-04-25,745,770,740,750,57883600,0,0,0,0
2016-04-26,745,745,710,720,54010700,0,0,0,0
2016-04-27,735,735,710,725,24575300,0,0,0,0
2016-04-28,735,745,715,735,36285700,0,0,0,0
2016-04-29,730,735,715,730,32940600,0,0,0,0
2016-04-30,720,730,655,710,661051800,0,0,0,0
2016-05-02,720,730,695,715,22677400,0,0,0,0
2016-05-03,725,725,705,715,23686200,0,0,0,0
2016-05-04,705,720,695,720,29309400,0,0,0,0
2016-05-09,710,715,675,695,51182600,0,0,0,0
2016-05-10,675,685,655,665,41210800,0,0,0,0
2016-05-11,685,700,660,685,45489500,0,0,0,0
2016-05-12,685,700,685,695,13931200,0,0,0,0
2016-05-13,690,695,670,670,18858300,0,0,0,0
2016-05-16,670,695,665,685,22269100,0,0,0,0
2016-05-17,700,710,680,695,57066400,0,0,0,0
2016-05-18,690,705,680,690,32205900,0,0,0,0
2016-05-19,685,685,675,675,18045700,0,0,0,0
2016-05-20,680,685,670,670,14823000,0,0,0,0
2016-05-23,675,685,670,670,15803300,0,0,0,0
2016-05-24,675,680,655,660,25891000,0,0,0,0
2016-05-25,670,690,670,680,31283500,0,0,0,0
2016-05-26,685,705,675,700,85473800,0,0,0,0
2016-05-27,710,710,690,695,38241700,0,0,0,0
2016-05-30,700,710,695,695,27024600,0,0,0,0
2016-05-31,710,945,705,850,1996026900,0,0,0,0
2016-06-01,710,725,705,720,56813300,0,0,0,0
2016-06-02,725,770,720,755,138655100,0,0,0,0
2016-06-03,760,825,760,815,179658900,0,0,0,0
2016-06-06,825,845,815,840,76310600,0,0,0,0
2016-06-07,845,915,830,910,152664400,0,0,0,0
2016-06-08,920,930,870,870,129151500,0,0,0,0
2016-06-09,880,945,870,925,146643500,0,0,0,0
2016-06-10,925,935,880,890,56784600,0,0,0,0
2016-06-13,870,875,855,860,25752900,0,0,0,0
2016-06-14,860,895,845,845,60803700,0,0,0,0
2016-06-15,845,875,830,865,101326400,0,0,0,0
