date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2000-10-31,166.15,185.47,158.43,175.81,2935072728,0,0,0,0
2000-11-30,173.88,177.75,152.63,154.56,959676756,0,0,0,0
2000-12-31,154.56,166.15,137.17,164.22,3290044889,0,0,0,0
2001-01-31,166.15,206.73,156.49,158.43,6625172189,0,0,0,0
2001-02-28,158.43,158.43,96.6,108.19,6777946412,0,0,0,0
2001-03-31,108.19,110.13,85.01,108.19,4154775576,0,0,0,0
2001-04-30,110.13,141.04,106.26,133.31,9491553788,0,0,0,0
2001-05-31,133.31,152.63,115.92,152.63,6992469550,0,0,0,0
2001-06-30,152.63,216.39,142.97,183.54,16260629949,0,0,0,0
2001-07-31,183.54,200.93,171.95,183.54,6779906793,0,0,0,0
2001-08-31,183.54,200.93,152.63,154.56,4552462150,0,0,0,0
2001-09-30,150.7,152.63,119.79,137.17,8032004534,0,0,0,0
2001-10-31,137.17,158.43,127.51,156.49,4306883394,0,0,0,0
2001-11-30,156.49,162.29,139.11,150.7,1906672477,0,0,0,0
2001-12-31,150.7,200.93,144.9,195.13,7582455081,0,0,0,0
2002-01-31,204.79,237.64,181.61,210.59,4636422299,0,0,0,0
2002-02-28,210.59,220.25,193.2,197.07,4437051718,0,0,0,0
2002-03-31,199,328.44,199,301.39,7978938249,0,0,0,0
2002-04-30,301.39,341.97,287.87,341.97,3445743513,0,0,0,0
2002-05-31,343.9,388.34,318.78,328.44,2501044616,0,0,0,0
2002-06-30,328.44,347.76,282.07,287.87,2008004361,0,0,0,0
2002-07-31,285.94,287.87,229.91,247.3,3462196521,0,0,0,0
2002-08-31,247.3,255.03,181.61,206.73,3006248318,0,0,0,0
2002-09-30,202.86,206.73,110.13,160.36,8607031616,0,0,0,0
2002-10-31,162.29,218.32,127.51,193.2,6563468564,0,0,0,0
2002-11-30,193.2,274.35,181.61,243.43,2495338148,0,0,0,0
2002-12-31,243.43,250,197.07,210,3067938677,0,0,0,0
2003-01-31,212.5,247.5,210,235,1597490000,0,0,0,0
2003-02-28,235,260,220,250,2050090000,0,0,0,0
2003-03-31,245,317.5,245,302.5,3042060000,0,0,0,0
2003-04-30,302.5,370,302.5,360,3478035000,0,0,0,0
2003-05-31,362.5,377.5,347.5,357.5,1982210000,0,0,0,0
2003-06-30,360,435,355,380,2131565000,0,0,0,0
2003-07-31,382.5,390,345,380,2073480000,0,0,0,0
2003-08-31,380,460,377.5,452.5,3764520000,0,0,0,0
2003-09-30,452.5,495,432.5,435,2128155000,0,0,0,0
2003-10-31,437.5,475,422.5,447.5,1575170000,0,0,0,0
2003-11-30,450,515,447.5,500,1472420000,0,0,0,0
2003-12-31,500,600,490,520,2035160000,0,0,0,0
2004-01-31,520,565,485,540,2044080000,0,0,0,0
2004-02-29,545,575,505,535,1669400000,0,0,0,0
2004-03-31,535,620,530,570,2441495000,0,0,0,0
2004-04-30,570,605,505,580,2068730000,0,0,0,0
2004-05-31,575,575,525,550,1350555000,0,0,0,0
2004-06-30,555,595,545,555,1721270000,0,0,0,0
2004-07-31,555,645,550,635,1598815000,0,0,0,0
2004-08-31,645,710,620,685,1950925000,0,0,0,0
2004-09-30,685,800,685,785,2576045000,0,0,0,0
2004-10-31,785,900,785,900,1886420000,0,0,0,0
2004-11-30,900,995,890,960,1376720000,0,0,0,0
2004-12-31,970,1060,955,1005,1006995000,0,0,0,0
2005-01-31,1005,1175,1000,1080,847330000,0,0,0,0
2005-02-28,1080,1115,1005,1050,1164210000,0,0,0,0
2005-03-31,1050,1110,1030,1055,646410000,0,0,0,0
2005-04-30,1060,1170,1060,1170,634495000,0,0,0,0
2005-05-31,1170,1395,1170,1270,722735000,0,0,0,0
2005-06-30,1285,1325,1210,1320,742135000,0,0,0,0
2005-07-31,1320,1330,880,1015,2607745000,0,0,0,0
2005-08-31,1000,1130,875,975,2785710040,0,0,0,0
2005-09-30,960,985,895,930,377870640,0,0,0,0
2005-10-31,925,945,820,910,330155560,0,0,0,0
2005-11-30,925,1065,915,1020,154725640,0,0,0,0
2005-12-31,1010,1155,1005,1040,1283115200,0,0,0,0
2006-01-31,1060,1085,930,980,1435265160,0,0,0,0
2006-02-28,970,1150,960,1125,1258670320,0,0,0,0
2006-03-31,1120,1305,1060,1195,390075600,0,0,0,0
2006-04-30,1180,1245,970,980,861790520,0,0,0,0
2006-05-31,945,995,855,975,280790800,0,0,0,0
2006-06-30,975,1080,910,960,592570600,0,0,0,0
2006-07-31,990,1205,965,1110,209005720,0,0,0,0
2006-08-31,1150,1265,1110,1245,157185680,0,0,0,0
2006-09-30,1220,1385,1210,1340,177010600,0,0,0,0
2006-10-31,1355,1650,1340,1595,138270760,0,0,0,0
2006-11-30,1595,1725,1545,1570,107215640,0,0,0,0
2006-12-31,1570,1690,1460,1485,363715680,0,0,0,0
2007-01-31,1455,1550,1280,1405,226250600,0,0,0,0
2007-02-28,1380,1475,1250,1320,220955720,0,0,0,0
2007-03-31,1320,1505,1305,1440,331670640,0,0,0,0
2007-04-30,1475,1685,1440,1640,55330760,0,0,0,0
2007-05-31,1640,1730,1585,1690,44085720,0,0,0,0
2007-06-30,1690,2005,1690,1875,657895440,0,0,0,0
2007-07-31,1825,1875,1480,1785,181965760,0,0,0,0
2007-08-31,1790,1960,1770,1925,324460560,0,0,0,0
2007-09-30,1930,2680,1915,2560,526835360,0,0,0,0
2007-10-31,2600,2725,2180,2500,1068325120,0,0,0,0
2007-11-30,2500,2880,2490,2730,632590120,0,0,0,0
2007-12-31,2730,3025,2140,2725,1672630000,0,0,0,0
2008-01-31,2750,2845,2475,2785,898800040,0,0,0,0
2008-02-29,2750,2765,2000,2425,1180480000,0,0,0,0
2008-03-31,2425,2470,1730,2000,3090390040,0,0,0,0
2008-04-30,2000,2220,1960,2100,1376115000,0,0,0,0
2008-05-31,2140,2200,1900,1925,701225440,0,0,0,0
2008-06-30,1940,2305,1915,2255,880,0,0,0,0
2008-07-31,2205,2255,1935,2080,69990640,0,0,0,0
2008-08-31,2100,2165,1415,1710,433115600,0,0,0,0
2008-09-30,1710,1710,660,935,1038350180,0,0,0,0
2008-10-31,1050,1350,780,1020,668475440,0,0,0,0
2008-11-30,950,1165,850,1055,332940640,0,0,0,0
2008-12-31,1055,1370,1055,1300,250310600,0,0,0,0
2009-01-31,1275,1310,1055,1130,179555680,0,0,0,0
2009-02-28,1085,1600,1060,1425,347850560,0,0,0,0
2009-03-31,1460,1870,1435,1800,315555640,0,0,0,0
2009-04-30,1770,2230,1700,2080,360660600,0,0,0,0
2009-05-31,2195,2580,2080,2380,187350720,0,0,0,0
2009-06-30,2375,2950,2265,2930,315100600,0,0,0,0
2009-07-31,3040,3195,2810,3015,99020680,0,0,0,0
2009-08-31,3060,3415,2880,3335,61875640,0,0,0,0
2009-09-30,3350,3530,2995,3130,66575840,0,0,0,0
2009-10-31,3105,3450,2975,3235,14965760,0,0,0,0
2009-11-30,3260,3560,3175,3470,216105480,0,0,0,0
2009-12-31,3470,3650,3320,3595,56890720,0,0,0,0
2010-01-31,3540,3705,3275,3625,554620120,0,0,0,0
2010-02-28,3685,4405,3590,4190,817390000,0,0,0,0
2010-03-31,4450,4815,4190,4715,704625000,0,0,0,0
