date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d
2026-01-12,8075,8100,8000,8025,82935700,0,0,0
2026-01-13,8025,8075,8000,8075,80536300,0,0,0
2026-01-14,8025,8050,7950,8000,105724300,0,0,0
2026-01-15,8000,8175,7975,8075,151753100,0,0,0
2026-01-19,8075,8125,7975,8125,172100000,0,0,0
2026-01-20,8050,8125,8000,8000,82672500,0,0,0
2026-01-21,7925,7950,7700,7700,301825600,0,0,0
2026-01-22,7700,7775,7600,7650,268025900,0,0,0
2026-01-23,7600,7675,7550,7650,202878600,0,0,0
2026-01-26,7550,7675,7525,7650,213044100,0,0,0
2026-01-27,7575,7625,7500,7500,259830900,0,0,0
2026-01-28,7050,7400,6925,7025,1027287500,0,0,0
2026-01-29,6675,7275,6375,7200,1432993400,0,0,0
2026-01-30,7200,7600,7200,7400,528434900,0,0,0
2026-02-02,7600,7600,7325,7600,326948700,0,0,0
2026-02-03,7600,7650,7375,7650,206015400,0,0,0
2026-02-04,7650,7825,7600,7800,193370800,0,0,0
2026-02-05,7800,7925,7800,7800,142332400,0,0,0
2026-02-06,7700,7775,7600,7675,176352600,0,0,0
2026-02-09,7675,7725,7450,7500,174758300,0,0,0
2026-02-10,7500,7550,7450,7475,127704200,0,0,0
2026-02-11,7475,7525,7400,7450,213505000,0,0,0
2026-02-12,7450,7475,7300,7325,237465300,0,0,0
2026-02-13,7325,7325,7200,7200,356015300,0,0,0
2026-02-14,6699,6712,6688,6693,2233951,0,0,0
2026-02-15,6725,6754,6712,6740,1827859,0,0,0
2026-02-16,6656,6678,6655,6668,3974932,0,0,0
2026-02-17,6702,6735,6701,6721,3351922,0,0,0
2026-02-18,7225,7375,7225,7275,125301200,0,0,0
2026-02-19,7325,7325,7175,7175,133463400,0,0,0
2026-02-20,7175,7250,7150,7225,122959500,0,0,0
2026-02-21,6682,6691,6669,6674,4591929,0,0,0
2026-02-22,6709,6732,6702,6722,3123950,0,0,0
2026-02-23,7300,7350,7275,7300,100443800,0,0,0
2026-02-24,7275,7325,7225,7225,159225400,0,0,0
2026-02-25,7275,7375,7250,7325,133278000,0,0,0
2026-02-26,7350,7375,7200,7300,127811900,0,0,0
2026-02-27,7200,7275,7175,7175,193104700,0,0,0
2026-02-28,6688,6690,6683,6686,504567,0,0,0
2026-03-01,6675,6697,6674,6691,580955,0,0,0
2026-03-02,7075,7150,6975,7025,156182700,0,0,0
2026-03-03,7075,7125,7025,7075,103031100,0,0,0
2026-03-04,7075,7075,6825,6875,216518700,0,0,0
2026-03-05,6975,7125,6950,7100,110256300,0,0,0
2026-03-06,7075,7100,7000,7000,102725700,0,0,0
2026-03-07,6653,6655,6640,6655,3573419,0,0,0
2026-03-08,6722,6742,6712,6735,539476,0,0,0
2026-03-09,6900,6950,6825,6875,150426400,0,0,0
2026-03-10,6950,7050,6925,6975,129977900,0,0,0
2026-03-11,6975,7000,6825,6825,91723400,0,0,0
2026-03-12,6825,7025,6825,6900,98787400,0,0,0
2026-03-13,6850,7025,6850,6875,107940600,0,0,0
2026-03-14,6690,6696,6677,6692,2706422,0,0,1
2026-03-15,6667,6671,6656,6664,2694354,0,0,0
2026-03-16,6850,6875,6700,6750,127757500,0,0,0
2026-03-17,6750,6825,6750,6775,160903900,0,0,0
2026-03-18,6738,6752,6729,6748,4820899,0,0,0
2026-03-19,6713,6720,6691,6703,4878814,0,0,0
2026-03-20,6727,6740,6724,6731,2419528,0,0,1
2026-03-21,6725,6733,6724,6726,3650834,0,0,0
2026-03-22,6703,6715,6693,6700,4392398,0,0,0
2026-03-23,6654,6676,6645,6664,2350591,0,0,0
2026-03-24,6664,6682,6660,6669,4367540,0,0,0
2026-03-25,6675,6925,6675,6900,314281100,0,0,0
2026-03-26,6900,6975,6850,6875,145934900,0,0,0
2026-03-27,6775,6850,6700,6700,283556500,0,0,0
2026-03-28,6705,6737,6700,6725,3259828,0,0,0
2026-03-29,6714,6716,6703,6714,1732171,0,0,0
2026-03-30,6400,6500,6350,6450,242278100,0,0,0
2026-03-31,6450,6550,6450,6450,150657800,0,0,0
2026-04-01,6550,6650,6500,6500,132798100,0,0,0
2026-04-02,6550,6600,6500,6575,72725400,0,0,0
2026-04-03,6726,6732,6711,6727,4581457,0,0,0
2026-04-04,6713,6719,6703,6704,1144293,0,0,0
2026-04-05,6670,6684,6645,6653,4268368,0,0,0
2026-04-06,6600,6625,6450,6500,57914600,0,0,0
2026-04-07,6500,6525,6450,6500,65168700,0,0,0
2026-04-08,6650,6850,6625,6750,163594000,0,0,0
2026-04-09,6775,6800,6450,6475,182409800,0,0,0
2026-04-10,6525,6700,6475,6700,167336100,0,0,0
2026-04-11,6525,6700,6475,6700,167336100,0,0,0
