date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2003-11-30,95.45,120.45,88.63,113.63,11699774574,0,0,0,0
2003-12-31,113.63,152.27,111.36,129.54,8211630826,0,0,0,0
2004-01-31,129.54,150,122.73,140.91,4941340340,0,0,0,0
2004-02-29,140.91,150,125,138.63,5434093849,0,0,0,0
2004-03-31,136.36,184.09,136.36,156.82,4686988447,0,0,0,0
2004-04-30,156.82,159.09,134.09,156.82,6409640203,0,0,0,0
2004-05-31,154.54,154.54,134.09,152.27,3754469338,0,0,0,0
2004-06-30,150,165.91,147.72,156.82,3102889584,0,0,0,0
2004-07-31,156.82,159.09,143.18,156.82,2501558698,0,0,0,0
2004-08-31,156.82,186.36,154.54,186.36,4168395488,0,0,0,0
2004-09-30,186.36,206.81,172.72,177.27,6176474671,0,0,0,0
2004-10-31,177.27,222.72,177.27,220.45,8487317588,0,0,0,0
2004-11-30,220.45,268.18,209.09,261.36,7465438436,0,0,0,0
2004-12-31,261.36,261.36,240.9,250,4030491606,0,0,0,0
2005-01-31,250,309.09,245.45,297.72,3107311662,0,0,0,0
2005-02-28,297.72,304.54,234.09,259.09,3499721435,0,0,0,0
2005-03-31,259.09,277.27,238.63,243.18,2677083229,0,0,0,0
2005-04-30,243.18,265.9,240.9,263.63,1758671866,0,0,0,0
2005-05-31,261.36,265.9,238.63,263.63,6353654731,0,0,0,0
2005-06-30,263.63,290.9,254.54,290.9,3883155060,0,0,0,0
2005-07-31,288.63,302.27,186.36,234.09,7938556608,0,0,0,0
2005-08-31,231.81,261.36,218.18,245.45,3646892983,0,0,0,0
2005-09-30,243.18,245.45,209.09,222.72,2265219618,0,0,0,0
2005-10-31,222.72,275,213.63,270.45,3424793648,0,0,0,0
2005-11-30,270.45,284.09,263.63,275,2716298907,0,0,0,0
2005-12-31,272.72,320.45,272.72,309.09,4201495060,0,0,0,0
2006-01-31,309.09,311.36,281.81,295.45,3174561322,0,0,0,0
2006-02-28,302.27,377.27,293.18,361.36,4355162214,0,0,0,0
2006-03-31,372.72,459.08,359.08,420.45,2445589734,0,0,0,0
2006-04-30,409.08,420.45,331.81,359.08,6589069796,0,0,0,0
2006-05-31,345.45,386.36,313.63,372.72,5281020705,0,0,0,0
2006-06-30,372.72,395.45,354.54,388.63,3023264708,0,0,0,0
2006-07-31,397.72,418.17,386.36,395.45,2941742299,0,0,0,0
2006-08-31,409.08,461.36,395.45,445.45,3504264516,0,0,0,0
2006-09-30,445.45,459.08,431.81,445.45,1683628572,0,0,0,0
2006-10-31,445.45,522.72,440.9,486.36,1903142862,0,0,0,0
2006-11-30,486.36,490.9,449.99,468.17,2409976616,0,0,0,0
2006-12-31,468.17,495.45,409.08,481.81,3152879946,0,0,0,0
2007-01-31,472.72,481.81,399.99,431.81,3628544664,0,0,0,0
2007-02-28,438.63,468.17,427.27,459.08,2648845743,0,0,0,0
2007-03-31,472.72,513.63,459.08,477.26,3235375870,0,0,0,0
2007-04-30,481.81,572.72,472.72,554.54,2645061676,0,0,0,0
2007-05-31,554.54,590.9,509.08,522.72,2884662314,0,0,0,0
2007-06-30,540.9,613.63,518.17,572.72,3635540785,0,0,0,0
2007-07-31,549.99,581.81,463.63,568.17,4108988961,0,0,0,0
2007-08-31,572.72,640.9,554.54,599.99,2167587430,0,0,0,0
2007-09-30,627.26,736.35,599.99,704.53,2751098007,0,0,0,0
2007-10-31,722.71,790.9,640.9,709.08,3595626594,0,0,0,0
2007-11-30,713.62,727.26,659.08,672.72,1769573059,0,0,0,0
2007-12-31,672.72,709.08,554.54,636.35,3045908601,0,0,0,0
2008-01-31,636.35,690.9,604.54,654.53,1898187277,0,0,0,0
2008-02-29,636.35,645.44,477.26,572.72,3200714276,0,0,0,0
2008-03-31,572.72,581.81,481.81,540.9,3444005474,0,0,0,0
2008-04-30,540.9,631.81,518.17,527.26,2981139484,0,0,0,0
2008-05-31,531.81,549.99,422.72,463.63,6820959301,0,0,0,0
2008-06-30,481.81,581.81,463.63,554.54,5528497478,0,0,0,0
2008-07-31,536.35,568.17,509.08,531.81,2061705100,0,0,0,0
2008-08-31,540.9,586.35,415.9,490.9,4733623753,0,0,0,0
2008-09-30,490.9,490.9,227.27,313.63,5302108095,0,0,0,0
2008-10-31,318.18,374.99,218.18,309.09,7962625027,0,0,0,0
2008-11-30,309.09,422.72,268.18,415.9,4299116248,0,0,0,0
2008-12-31,415.9,463.63,386.36,413.63,2556103142,0,0,0,0
2009-01-31,395.45,413.63,336.36,338.63,2661891968,0,0,0,0
2009-02-28,329.54,422.72,322.72,381.81,4228682029,0,0,0,0
2009-03-31,381.81,536.35,381.81,527.26,5276521629,0,0,0,0
2009-04-30,536.35,627.26,499.99,568.17,3482852647,0,0,0,0
2009-05-31,581.81,631.81,504.54,572.72,4037102720,0,0,0,0
2009-06-30,586.35,695.44,568.17,663.62,4562218791,0,0,0,0
2009-07-31,672.72,718.17,618.17,690.9,3449698075,0,0,0,0
