date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2003-07-31,184.37,208.95,172.08,208.95,2826545386,0,0,0,0
2003-08-31,202.81,221.24,190.52,208.95,2786226200,0,0,0,0
2003-09-30,208.95,251.97,202.81,233.53,3791995007,0,0,0,0
2003-10-31,233.53,239.68,196.66,227.39,2612881960,0,0,0,0
2003-11-30,227.39,258.12,221.24,245.83,2683297653,0,0,0,0
2003-12-31,245.83,368.74,239.68,319.57,5136810717,0,0,0,0
2004-01-31,319.57,387.18,301.14,344.16,3327351088,0,0,0,0
2004-02-29,350.3,381.03,307.28,344.16,3566894626,0,0,0,0
2004-03-31,338.01,381.03,325.72,356.45,4337698343,0,0,0,0
2004-04-30,356.45,356.45,276.55,307.28,3736463835,0,0,0,0
2004-05-31,307.28,313.43,258.12,288.85,3426311377,0,0,0,0
2004-06-30,288.85,319.57,282.7,307.28,1899295565,0,0,0,0
2004-07-31,301.14,319.57,282.7,307.28,1897837215,0,0,0,0
2004-08-31,307.28,362.59,307.28,356.45,3723999728,0,0,0,0
2004-09-30,350.3,393.32,350.3,387.18,2887905892,0,0,0,0
2004-10-31,387.18,479.36,387.18,448.63,3137572449,0,0,0,0
2004-11-30,454.78,491.65,430.2,473.21,3471204941,0,0,0,0
2004-12-31,474.44,503.94,452.32,476.9,3173846090,0,0,0,0
2005-01-31,476.9,476.9,430.2,444.94,4830903137,0,0,0,0
2005-02-28,444.94,462.15,403.15,420.36,4099464677,0,0,0,0
2005-03-31,420.36,435.11,334.32,393.32,3130054933,0,0,0,0
2005-04-30,393.32,427.74,388.4,408.07,3278456720,0,0,0,0
2005-05-31,405.61,408.07,351.53,368.74,3842530780,0,0,0,0
2005-06-30,368.74,400.7,361.36,395.78,2971387747,0,0,0,0
2005-07-31,393.32,412.99,299.91,336.78,3086347165,0,0,0,0
2005-08-31,331.86,358.91,324.49,356.45,2169163412,0,0,0,0
2005-09-30,363.82,371.2,314.66,324.49,1427087345,0,0,0,0
2005-10-31,324.49,329.41,270.41,317.12,2142968045,0,0,0,0
2005-11-30,322.03,410.53,314.66,403.15,3325874430,0,0,0,0
2005-12-31,403.15,494.11,398.24,437.57,5252022350,0,0,0,0
2006-01-31,437.57,449.86,390.86,398.24,2541365890,0,0,0,0
2006-02-28,395.78,442.49,368.74,427.74,4783084733,0,0,0,0
2006-03-31,408.07,494.11,408.07,471.99,4330978139,0,0,0,0
2006-04-30,479.36,583.84,395.78,415.45,14305483402,0,0,0,0
2006-05-31,403.15,430.2,373.66,422.82,6087489724,0,0,0,0
2006-06-30,430.2,452.32,393.32,432.65,5945171508,0,0,0,0
2006-07-31,442.49,546.96,430.2,516.23,7223952670,0,0,0,0
2006-08-31,528.53,589.98,503.94,571.55,4632813735,0,0,0,0
2006-09-30,565.4,694.46,546.96,669.88,3983158777,0,0,0,0
2006-10-31,663.73,719.04,639.15,682.17,3986193443,0,0,0,0
2006-11-30,712.9,725.19,669.88,712.9,2974989891,0,0,0,0
2006-12-31,712.9,725.19,577.69,633,5046374753,0,0,0,0
2007-01-31,633,645.29,528.53,571.55,3209997698,0,0,0,0
2007-02-28,571.55,633,540.82,614.56,5884768995,0,0,0,0
2007-03-31,620.71,817.37,608.42,755.91,8916780966,0,0,0,0
2007-04-30,749.77,823.52,731.33,798.93,4987214992,0,0,0,0
2007-05-31,798.93,811.23,743.62,768.21,2574773683,0,0,0,0
2007-06-30,786.64,934.14,768.21,866.54,9787747042,0,0,0,0
2007-07-31,854.24,854.24,645.29,798.93,6613101610,0,0,0,0
2007-08-31,792.79,891.12,755.91,866.54,3535571640,0,0,0,0
2007-09-30,878.83,995.59,841.95,927.99,4895206779,0,0,0,0
2007-10-31,946.43,958.72,798.93,872.68,7965011756,0,0,0,0
2007-11-30,884.97,927.99,792.79,860.39,3056502873,0,0,0,0
2007-12-31,860.39,872.68,626.86,817.37,4573322440,0,0,0,0
2008-01-31,829.66,854.24,780.5,805.08,2827340665,0,0,0,0
2008-02-29,786.64,805.08,676.02,774.35,2887259095,0,0,0,0
2008-03-31,774.35,792.79,639.15,706.75,4632754750,0,0,0,0
2008-04-30,706.75,768.21,663.73,712.9,3043690957,0,0,0,0
2008-05-31,712.9,719.04,633,639.15,2052534113,0,0,0,0
2008-06-30,651.44,749.77,645.29,731.33,3018225779,0,0,0,0
2008-07-31,731.33,774.35,651.44,694.46,1783843929,0,0,0,0
2008-08-31,688.31,719.04,485.51,651.44,2691289079,0,0,0,0
2008-09-30,651.44,651.44,280.24,383.49,2974367504,0,0,0,0
2008-10-31,393.32,503.94,304.82,366.28,4008827350,0,0,0,0
2008-11-30,361.36,553.11,339.24,497.8,2878612730,0,0,0,0
2008-12-31,497.8,559.25,435.11,447.4,2558807096,0,0,0,0
2009-01-31,437.57,449.86,415.45,427.74,1856454265,0,0,0,0
2009-02-28,417.9,559.25,412.99,534.67,2361608573,0,0,0,0
2009-03-31,553.11,706.75,522.38,682.17,2794406788,0,0,0,0
2009-04-30,700.6,755.91,596.13,731.33,4568178555,0,0,0,0
2009-05-31,743.62,921.85,725.19,780.5,3270691062,0,0,0,0
2009-06-30,798.93,1050.91,768.21,1026.32,4401615538,0,0,0,0
2009-07-31,1044.76,1063.2,909.56,1007.89,2495241779,0,0,0,0
2009-08-31,977.16,1216.84,952.58,1155.38,1836181790,0,0,0,0
2009-09-30,1149.24,1302.88,1050.91,1149.24,2327185834,0,0,0,0
2009-10-31,1155.38,1216.84,1057.05,1093.93,2015764186,0,0,0,0
2009-11-30,1118.51,1161.53,1075.49,1155.38,1580030968,0,0,0,0
2009-12-31,1155.38,1216.84,1106.22,1149.24,1820961666,0,0,0,0
2010-01-31,1149.24,1161.53,1020.18,1100.07,1924201408,0,0,0,0
2010-02-28,1100.07,1388.92,1081.63,1315.17,2740488538,0,0,0,0
2010-03-31,1290.59,1425.79,1216.84,1425.79,2870487057,0,0,0,0
2010-04-30,1413.5,1438.08,1155.38,1315.17,2860488110,0,0,0,0
2010-05-31,1266,1499.54,1253.71,1474.96,1888088447,0,0,0,0
2010-06-30,1438.08,1548.7,1376.62,1474.96,1587554585,0,0,0,0
2010-07-31,1438.08,1499.54,1339.75,1450.37,1416197523,0,0,0,0
2010-08-31,1474.96,1782.24,1425.79,1769.95,1693281864,0,0,0,0
2010-09-30,1683.91,1769.95,1622.45,1720.78,1772093739,0,0,0,0
2010-10-31,1745.36,1782.24,1560.99,1573.29,1315500230,0,0,0,0
2010-11-30,1647.03,1696.2,1499.54,1597.87,1722670548,0,0,0,0
2010-12-31,1585.58,1696.2,1315.17,1462.66,4744958153,0,0,0,0
2011-01-31,1499.54,1536.41,1337.5,1450,4085954079,0,0,0,0
2011-02-28,1475,1700,1425,1700,4470488000,0,0,0,0
2011-03-31,1712.5,1812.5,1637.5,1787.5,2542330000,0,0,0,0
2011-04-30,1837.5,1837.5,1700,1800,2746034000,0,0,0,0
2011-05-31,1787.5,1812.5,1675,1800,1915470000,0,0,0,0
2011-06-30,1825,2037.5,1787.5,1962.5,2386126000,0,0,0,0
2011-07-31,2012.5,2025,1662.5,1712.5,3429210000,0,0,0,0
2011-08-31,1712.5,1825,1275,1575,4635456000,0,0,0,0
2011-09-30,1437.5,1825,1375,1787.5,3527560000,0,0,0,0
2011-10-31,1700,1850,1575,1600,3334466000,0,0,0,0
2011-11-30,1600,1750,1550,1687.5,1955562000,0,0,0,0
2011-12-31,1675,1787.5,1650,1675,2523972012,0,0,0,0
2012-01-31,1687.5,1687.5,1500,1612.5,5360720000,0,0,0,0
2012-02-29,1587.5,1737.5,1587.5,1712.5,2932678008,0,0,0,0
2012-03-31,1737.5,1850,1700,1850,1953678000,0,0,0,0
2012-04-30,1850,1862.5,1662.5,1725,1902750000,0,0,0,0
2012-05-31,1725,1837.5,1637.5,1800,1369730000,0,0,0,0
2012-06-30,1812.5,2075,1712.5,2075,2167044000,0,0,0,0
2012-07-31,2075,2150,1837.5,1950,1351862000,0,0,0,0
2012-08-31,1975,2075,1900,2050,1680830000,0,0,0,0
2012-09-30,2012.5,2100,1975,2062.5,1624008000,0,0,0,0
2012-10-31,2075,2225,2037.5,2062.5,1254008000,0,0,0,0
2012-11-30,2112.5,2112.5,1925,1950,2055508012,0,0,0,0
2012-12-31,1950,2262.5,1950,2262.5,1725268000,0,0,0,0
2013-01-31,2250,2537.5,2175,2512.5,1701754000,0,0,0,0
2013-02-28,2475,2512.5,2362.5,2500,1749754000,0,0,0,0
2013-03-31,2512.5,2687.5,2450,2625,1585938012,0,0,0,0
2013-04-30,2600,2637.5,2425,2425,2498734000,0,0,0,0
2013-05-31,2425,2475,2062.5,2250,2922794012,0,0,0,0
2013-06-30,2262.5,2262.5,1862.5,2225,2805734000,0,0,0,0
2013-07-31,2225,2225,1562.5,1775,3735436000,0,0,0,0
2013-08-31,1800,2575,1637.5,1987.5,3808434000,0,0,0,0
2013-09-30,2012.5,2237.5,2012.5,2150,2701268000,0,0,0,0
