date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2007-09-30,590,820,510,670,2647012480,0,0,0,0
2007-10-31,650,690,570,620,1510353996,0,0,0,0
2007-11-30,620,780,600,680,2443588996,0,0,0,0
2007-12-31,680,690,440,570,1314751000,0,0,0,0
2008-01-31,570,640,520,600,1085852008,0,0,0,0
2008-02-29,570,590,410,440,612255000,0,0,0,0
2008-03-31,440,455,315,345,515877000,0,0,0,0
2008-04-30,345,345,345,345,0,0,0,0,0
2008-05-31,345,455,345,400,281223500,0,0,0,0
2008-06-30,410,420,310,350,514880004,0,0,0,0
2008-07-31,340,350,295,340,288989500,0,0,0,0
2008-08-31,335,340,170,205,808093000,0,0,0,0
2008-09-30,205,205,50,66,1520064492,0,0,0,0
2008-10-31,79,94,50,51,2969673028,0,0,0,0
2008-11-30,50,55,50,50,1021123996,0,0,0,0
2008-12-31,50,65,50,54,1439184036,0,0,0,0
2009-01-31,53,63,52,57,1961673480,0,0,0,0
2009-02-28,54,58,53,55,426415500,0,0,0,0
2009-03-31,57,175,55,132,12806112592,0,0,0,0
2009-04-30,127,280,125,215,12109605756,0,0,0,0
2009-05-31,225,250,182,205,9733558568,0,0,0,0
2009-06-30,205,225,180,220,4371155980,0,0,0,0
2009-07-31,205,245,205,210,5791637452,0,0,0,0
2009-08-31,205,215,196,210,1331891496,0,0,0,0
2009-09-30,210,215,137,164,2186125044,0,0,0,0
2009-10-31,171,196,140,140,5211764964,0,0,0,0
2009-11-30,146,151,113,136,1108908500,0,0,0,0
2009-12-31,136,151,111,121,4473487984,0,0,0,0
2010-01-31,122,126,105,108,2379054992,0,0,0,0
2010-02-28,106,119,105,105,1740567480,0,0,0,0
2010-03-31,105,116,102,105,1732403516,0,0,0,0
2010-04-30,104,107,56,82,2508546016,0,0,0,0
2010-05-31,77,83,71,77,1221270508,0,0,0,0
2010-06-30,75,78,62,64,805105000,0,0,0,0
2010-07-31,63,70,50,62,2365971480,0,0,0,0
2010-08-31,62,85,58,75,3202910032,0,0,0,0
2010-09-30,78,84,74,77,2128486488,0,0,0,0
2010-10-31,77,85,70,72,2023519000,0,0,0,0
2010-11-30,75,78,70,71,501734504,0,0,0,0
2010-12-31,73,76,60,61,574679000,0,0,0,0
2011-01-31,61,64,55,63,559107996,0,0,0,0
2011-02-28,63,64,58,60,614494496,0,0,0,0
2011-03-31,60,89,59,86,3539781988,0,0,0,0
2011-04-30,87,111,84,100,7118781432,0,0,0,0
2011-05-31,109,119,97,105,8218654496,0,0,0,0
2011-06-30,107,127,102,118,7893461968,0,0,0,0
2011-07-31,122,124,87,94,3783790948,0,0,0,0
2011-08-31,94,103,62,75,2342736480,0,0,0,0
2011-09-30,69,86,64,79,3489344016,0,0,0,0
2011-10-31,75,81,68,70,949770500,0,0,0,0
2011-11-30,70,86,68,78,2008898032,0,0,0,0
2011-12-31,82,91,77,84,2825245456,0,0,0,0
2012-01-31,84,100,82,96,3346108000,0,0,0,0
2012-02-29,95,96,87,89,821566496,0,0,0,0
2012-03-31,91,91,75,78,1096478500,0,0,0,0
2012-04-30,78,78,58,59,463674500,0,0,0,0
2012-05-31,58,61,50,54,761914492,0,0,0,0
2012-06-30,56,58,50,50,414583996,0,0,0,0
2012-07-31,50,51,50,50,122366500,0,0,0,0
2012-08-31,50,52,50,50,374980992,0,0,0,0
2012-09-30,50,50,50,50,12678500,0,0,0,0
2012-10-31,50,50,50,50,3799000,0,0,0,0
2012-11-30,50,50,50,50,1125000,0,0,0,0
2012-12-31,50,50,50,50,495500,0,0,0,0
2013-01-31,50,50,50,50,172557500,0,0,0,0
2013-02-28,50,50,50,50,184500,0,0,0,0
2013-03-31,50,50,50,50,372500,0,0,0,0
2013-04-30,50,50,50,50,246000,0,0,0,0
2013-05-31,50,50,50,50,618000,0,0,0,0
2013-06-30,50,50,50,50,14500,0,0,0,0
2013-07-31,50,50,50,50,13000,0,0,0,0
2013-08-31,50,50,50,50,31000,0,0,0,0
2013-09-30,50,50,50,50,3615500,0,0,0,0
2013-10-31,50,50,50,50,5114000,0,0,0,0
2013-11-30,50,50,50,50,8534000,0,0,0,0
2013-12-31,50,50,50,50,12641000,0,0,0,0
2014-01-31,50,50,50,50,7349700,0,0,0,0
2014-02-28,50,50,50,50,3657400,0,0,0,0
2014-03-31,50,50,50,50,635600,0,0,0,0
2014-04-30,50,50,50,50,12000,0,0,0,0
2014-05-31,50,50,50,50,80900,0,0,0,0
2014-06-30,50,50,50,50,21000,0,0,0,0
2014-07-31,50,50,50,50,2000,0,0,0,0
2014-08-31,50,50,50,50,20500,0,0,0,0
2014-09-30,50,50,50,50,196200,0,0,0,0
2014-10-31,50,50,50,50,55700,0,0,0,0
2014-11-30,50,50,50,50,128345300,0,0,0,0
2014-12-31,50,50,50,50,1294300,0,0,0,0
2015-01-31,50,50,50,50,458500,0,0,0,0
2015-02-28,50,50,50,50,5169200,0,0,0,0
2015-03-31,50,50,50,50,52500,0,0,0,0
2015-04-30,50,50,50,50,114500,0,0,0,0
2015-05-31,50,50,50,50,6700,0,0,0,0
2015-06-30,50,50,50,50,328600,0,0,0,0
2015-07-31,50,50,50,50,30500,0,0,0,0
2015-08-31,50,50,50,50,300,0,0,0,0
2015-09-30,50,50,50,50,147100,0,0,0,0
2015-10-31,50,50,50,50,65000,0,0,0,0
2015-11-30,50,50,50,50,100400,0,0,0,0
2015-12-31,50,50,50,50,0,0,0,0,0
2016-01-31,50,50,50,50,90700,0,0,0,0
2016-02-29,50,50,50,50,361800,0,0,0,0
2016-03-31,50,50,50,50,70500,0,0,0,0
2016-04-21,50,50,50,50,100,0,0,0,0
2016-04-22,50,50,50,50,200,0,0,0,0
2016-04-25,50,50,50,50,500,0,0,0,0
2016-04-26,50,50,50,50,0,0,0,0,0
2016-04-27,50,50,50,50,11600,0,0,0,0
2016-04-28,50,50,50,50,3400,0,0,0,0
2016-04-29,50,50,50,50,0,0,0,0,0
2016-04-30,50,50,50,50,41400,0,0,0,0
2016-05-02,50,50,50,50,4000,0,0,0,0
2016-05-03,50,50,50,50,200,0,0,0,0
2016-05-04,50,50,50,50,200,0,0,0,0
2016-05-09,50,50,50,50,0,0,0,0,0
2016-05-10,50,50,50,50,1400,0,0,0,0
2016-05-11,50,50,50,50,100,0,0,0,0
2016-05-12,50,50,50,50,900,0,0,0,0
2016-05-13,50,50,50,50,3500,0,0,0,0
2016-05-16,50,50,50,50,0,0,0,0,0
2016-05-17,50,50,50,50,100,0,0,0,0
2016-05-18,50,50,50,50,0,0,0,0,0
2016-05-19,50,50,50,50,0,0,0,0,0
2016-05-20,50,50,50,50,0,0,0,0,0
2016-05-23,50,50,50,50,0,0,0,0,0
2016-05-24,50,50,50,50,0,0,0,0,0
2016-05-25,50,50,50,50,0,0,0,0,0
2016-05-26,50,50,50,50,4000,0,0,0,0
2016-05-27,50,50,50,50,5000,0,0,0,0
2016-05-30,50,50,50,50,0,0,0,0,0
2016-05-31,50,50,50,50,75100,0,0,0,0
2016-06-01,50,50,50,50,3400,0,0,0,0
2016-06-02,50,50,50,50,500,0,0,0,0
2016-06-03,50,50,50,50,0,0,0,0,0
2016-06-06,50,50,50,50,20000,0,0,0,0
2016-06-07,50,50,50,50,700,0,0,0,0
2016-06-08,50,50,50,50,0,0,0,0,0
2016-06-09,50,50,50,50,400,0,0,0,0
2016-06-10,50,50,50,50,1600,0,0,0,0
2016-06-13,50,50,50,50,0,0,0,0,0
2016-06-14,50,50,50,50,500,0,0,0,0
2016-06-15,50,50,50,50,6800,0,0,0,0
2016-06-16,50,50,50,50,500,0,0,0,0
2016-06-17,50,50,50,50,26200,0,0,0,0
2016-06-20,50,50,50,50,0,0,0,0,0
2016-06-21,50,50,50,50,200,0,0,0,0
2016-06-22,50,50,50,50,12600,0,0,0,0
2016-06-23,50,50,50,50,900,0,0,0,0
2016-06-24,50,50,50,50,0,0,0,0,0
2016-06-27,50,50,50,50,0,0,0,0,0
2016-06-28,50,50,50,50,0,0,0,0,0
2016-06-29,50,50,50,50,300,0,0,0,0
2016-06-30,50,50,50,50,442300,0,0,0,0
2016-07-01,50,50,50,50,10500,0,0,0,0
2016-07-11,50,50,50,50,0,0,0,0,0
2016-07-12,50,50,50,50,400,0,0,0,0
2016-07-13,50,50,50,50,400,0,0,0,0
2016-07-14,50,50,50,50,200,0,0,0,0
2016-07-15,50,50,50,50,100,0,0,0,0
2016-07-18,50,50,50,50,0,0,0,0,0
2016-07-19,50,50,50,50,0,0,0,0,0
2016-07-20,50,50,50,50,71100,0,0,0,0
2016-07-21,50,50,50,50,245000,0,0,0,0
2016-07-22,50,50,50,50,100,0,0,0,0
2016-07-25,50,50,50,50,10800,0,0,0,0
2016-07-26,50,50,50,50,89300,0,0,0,0
2016-07-27,50,50,50,50,10100,0,0,0,0
2016-07-28,50,50,50,50,0,0,0,0,0
2016-07-29,50,50,50,50,4300,0,0,0,0
2016-07-31,50,50,50,50,5707300,0,0,0,0
2016-08-01,50,50,50,50,20000,0,0,0,0
2016-08-02,50,50,50,50,0,0,0,0,0
2016-08-03,50,50,50,50,0,0,0,0,0
2016-08-04,50,50,50,50,10100,0,0,0,0
2016-08-05,50,50,50,50,3300,0,0,0,0
2016-08-08,50,50,50,50,0,0,0,0,0
2016-08-09,50,50,50,50,0,0,0,0,0
2016-08-10,50,50,50,50,5392100,0,0,0,0
2016-08-11,50,50,50,50,109400,0,0,0,0
2016-08-12,50,50,50,50,73300,0,0,0,0
2016-08-15,50,50,50,50,0,0,0,0,0
