date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2000-10-31,387.5,437.5,375,412.5,713231000,0,0,0,0
2000-11-30,412.5,425,375,387.5,173540000,0,0,0,0
2000-12-31,387.5,462.5,387.5,450,514268000,0,0,0,0
2001-01-31,450,637.5,437.5,462.5,2153313000,0,0,0,0
2001-02-28,450,475,400,425,503253000,0,0,0,0
2001-03-31,425,425,362.5,375,483817000,0,0,0,0
2001-04-30,375,425,362.5,400,1167523000,0,0,0,0
2001-05-31,400,425,375,425,815101000,0,0,0,0
2001-06-30,412.5,487.5,400,425,1858190000,0,0,0,0
2001-07-31,425,425,387.5,400,599262000,0,0,0,0
2001-08-31,400,412.5,350,350,470381000,0,0,0,0
2001-09-30,350,362.5,325,337.5,562192000,0,0,0,0
2001-10-31,337.5,337.5,275,312.5,597979000,0,0,0,0
2001-11-30,312.5,325,287.5,312.5,967401000,0,0,0,0
2001-12-31,312.5,425,300,387.5,1059667000,0,0,0,0
2002-01-31,387.5,412.5,350,375,682989000,0,0,0,0
2002-02-28,387.5,425,362.5,400,960894000,0,0,0,0
2002-03-31,412.5,575,400,525,2213209000,0,0,0,0
2002-04-30,525,550,462.5,550,966798000,0,0,0,0
2002-05-31,550,625,500,537.5,1846200000,0,0,0,0
2002-06-30,537.5,587.5,487.5,562.5,885838000,0,0,0,0
2002-07-31,550,550,450,462.5,782512000,0,0,0,0
2002-08-31,462.5,462.5,337.5,375,1096272000,0,0,0,0
2002-09-30,362.5,387.5,237.5,312.5,1296197000,0,0,0,0
2002-10-31,312.5,350,275,287.5,1922296000,0,0,0,0
2002-11-30,287.5,325,287.5,300,445488000,0,0,0,0
2002-12-31,300,312.5,275,287.5,374758000,0,0,0,0
2003-01-31,275,287.5,275,287.5,153220000,0,0,0,0
2003-02-28,287.5,312.5,275,300,356055000,0,0,0,0
2003-03-31,287.5,375,287.5,362.5,1319398000,0,0,0,0
2003-04-30,362.5,437.5,350,437.5,1124291000,0,0,0,0
2003-05-31,437.5,475,400,425,969240000,0,0,0,0
2003-06-30,425,450,362.5,387.5,535839000,0,0,0,0
2003-07-31,375,375,325,337.5,573812000,0,0,0,0
2003-08-31,337.5,387.5,325,362.5,964458000,0,0,0,0
2003-09-30,362.5,412.5,337.5,350,931882000,0,0,0,0
2003-10-31,337.5,362.5,312.5,337.5,412974000,0,0,0,0
2003-11-30,337.5,412.5,337.5,400,994894000,0,0,0,0
2003-12-31,400,462.5,387.5,425,1416534000,0,0,0,0
2004-01-31,425,437.5,400,425,415857000,0,0,0,0
2004-02-29,425,437.5,362.5,400,630362000,0,0,0,0
2004-03-31,400,412.5,362.5,375,530960000,0,0,0,0
2004-04-30,375,375,300,350,519024000,0,0,0,0
2004-05-31,337.5,350,312.5,350,201896000,0,0,0,0
2004-06-30,337.5,375,325,350,317162000,0,0,0,0
2004-07-31,350,362.5,312.5,337.5,173987000,0,0,0,0
2004-08-31,325,375,325,337.5,376023000,0,0,0,0
2004-09-30,350,362.5,337.5,337.5,221340000,0,0,0,0
2004-10-31,337.5,375,337.5,375,576317000,0,0,0,0
2004-11-30,375,400,350,400,762945000,0,0,0,0
2004-12-31,395,455,390,435,1521413000,0,0,0,0
2005-01-31,435,480,420,465,1417471000,0,0,0,0
2005-02-28,465,680,465,580,4032701000,0,0,0,0
2005-03-31,575,610,505,510,1182290000,0,0,0,0
2005-04-30,510,600,485,600,874822000,0,0,0,0
2005-05-31,600,615,525,550,915539000,0,0,0,0
2005-06-30,550,570,535,545,1059230000,0,0,0,0
2005-07-31,545,550,370,395,1242262000,0,0,0,0
2005-08-31,390,445,335,365,1436255000,0,0,0,0
2005-09-30,355,420,345,410,1292583000,0,0,0,0
2005-10-31,410,435,400,425,432379000,0,0,0,0
2005-11-30,425,485,420,455,780165000,0,0,0,0
2005-12-31,455,495,410,440,736074000,0,0,0,0
2006-01-31,435,465,415,420,526278000,0,0,0,0
2006-02-28,420,445,405,445,1442054000,0,0,0,0
2006-03-31,440,570,430,565,1917444000,0,0,0,0
2006-04-30,560,620,440,470,2660694000,0,0,0,0
2006-05-31,480,515,420,440,1425175000,0,0,0,0
2006-06-30,440,525,435,525,1331533000,0,0,0,0
2006-07-31,520,610,505,595,1616547000,0,0,0,0
2006-08-31,595,640,560,625,1141868000,0,0,0,0
2006-09-30,625,670,615,665,667476000,0,0,0,0
2006-10-31,670,725,655,700,1044264000,0,0,0,0
2006-11-30,700,715,635,675,544246000,0,0,0,0
2006-12-31,675,865,640,845,1762523000,0,0,0,0
2007-01-31,850,905,725,780,1052841000,0,0,0,0
2007-02-28,785,790,685,760,1059656000,0,0,0,0
2007-03-31,765,870,760,820,961487000,0,0,0,0
2007-04-30,815,915,815,865,910803000,0,0,0,0
2007-05-31,865,1100,865,1012.5,1108429000,0,0,0,0
2007-06-30,1012.5,1137.5,962.5,1000,936547000,0,0,0,0
2007-07-31,987.5,1000,780,930,751612000,0,0,0,0
2007-08-31,930,995,885,965,699795000,0,0,0,0
2007-09-30,970,1100,925,1100,1310078000,0,0,0,0
2007-10-31,1112.5,1425,1062.5,1262.5,2024130000,0,0,0,0
2007-11-30,1262.5,1362.5,1200,1287.5,347898000,0,0,0,0
2007-12-31,1287.5,1637.5,1237.5,1412.5,1651476000,0,0,0,0
2008-01-31,1425,1537.5,1337.5,1462.5,983403000,0,0,0,0
2008-02-29,1412.5,1475,1075,1162.5,843549000,0,0,0,0
2008-03-31,1175,1237.5,950,1137.5,925262000,0,0,0,0
2008-04-30,1137.5,1462.5,1137.5,1400,744560000,0,0,0,0
2008-05-31,1400,1425,1150,1200,522131000,0,0,0,0
2008-06-30,1212.5,1225,1000,1137.5,459961000,0,0,0,0
2008-07-31,1137.5,1137.5,925,1125,715167000,0,0,0,0
2008-08-31,1112.5,1137.5,875,980,632337000,0,0,0,0
2008-09-30,980,980,470,545,725437000,0,0,0,0
2008-10-31,575,645,420,485,1532194000,0,0,0,0
2008-11-30,505,515,435,465,1447632000,0,0,0,0
2008-12-31,465,565,460,490,2389772000,0,0,0,0
2009-01-31,480,515,430,440,1119579000,0,0,0,0
2009-02-28,430,500,410,470,1172468000,0,0,0,0
2009-03-31,470,650,450,640,4233712000,0,0,0,0
2009-04-30,640,975,620,890,1979161000,0,0,0,0
2009-05-31,900,995,810,945,1947856000,0,0,0,0
2009-06-30,940,1175,865,1137.5,1830794000,0,0,0,0
2009-07-31,1150,1362.5,1087.5,1250,1933641000,0,0,0,0
2009-08-31,1250,1525,1187.5,1512.5,1515347000,0,0,0,0
2009-09-30,1525,1650,1350,1537.5,846840000,0,0,0,0
2009-10-31,1487.5,1625,1462.5,1537.5,450884000,0,0,0,0
2009-11-30,1587.5,1812.5,1537.5,1775,457936000,0,0,0,0
2009-12-31,1775,1950,1700,1800,661310000,0,0,0,0
2010-01-31,1800,1975,1687.5,1900,560220000,0,0,0,0
2010-02-28,1950,2112.5,1850,1887.5,654540000,0,0,0,0
2010-03-31,1875,1975,1850,1950,784036000,0,0,0,0
2010-04-30,1937.5,1975,1650,1825,1201329000,0,0,0,0
2010-05-31,1837.5,2112.5,1737.5,2075,886408000,0,0,0,0
2010-06-30,2050,2362.5,2050,2312.5,653504000,0,0,0,0
2010-07-31,2337.5,2425,2050,2275,1490839000,0,0,0,0
2010-08-31,2287.5,2900,2225,2725,1194031000,0,0,0,0
2010-09-30,2725,3100,2575,2850,1330318000,0,0,0,0
2010-10-31,2775,2875,2500,2550,381009000,0,0,0,0
2010-11-30,2550,2600,2200,2337.5,532808000,0,0,0,0
2010-12-31,2362.5,2575,2175,2287.5,452165000,0,0,0,0
2011-01-31,2300,2337.5,2150,2287.5,204375000,0,0,0,0
2011-02-28,2375,2650,2300,2650,278507000,0,0,0,0
2011-03-31,2600,2725,2550,2700,198088000,0,0,0,0
2011-04-30,2650,2700,2525,2525,190919000,0,0,0,0
2011-05-31,2600,2725,2462.5,2700,152846000,0,0,0,0
2011-06-30,2800,2900,2700,2900,178478000,0,0,0,0
2011-07-31,3000,3000,2650,2650,223336000,0,0,0,0
2011-08-31,2650,2800,1900,2462.5,293389000,0,0,0,0
2011-09-30,2375,2875,2325,2650,67600000,0,0,0,0
2011-10-31,2487.5,2650,2437.5,2575,122863000,0,0,0,0
2011-11-30,2575,2600,2437.5,2600,30323000,0,0,0,0
2011-12-31,2575,2675,2487.5,2550,99265006,0,0,0,0
2012-01-31,2600,2825,2525,2825,137848000,0,0,0,0
2012-02-29,2800,2850,2575,2725,94992004,0,0,0,0
2012-03-31,2700,2825,2500,2825,111661000,0,0,0,0
2012-04-30,2875,2950,2700,2825,142904006,0,0,0,0
2012-05-31,2800,2925,2700,2875,59737000,0,0,0,0
2012-06-30,2900,3425,2850,3300,240021000,0,0,0,0
2012-07-31,3325,3425,3200,3275,88868000,0,0,0,0
2012-08-31,3275,3325,3075,3175,117209000,0,0,0,0
2012-09-30,3200,3875,3150,3575,209749000,0,0,0,0
