date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2000-10-31,775,875,750,825,356615500,0,0,0,0
2000-11-30,825,850,750,775,86770000,0,0,0,0
2000-12-31,775,925,775,900,257134000,0,0,0,0
2001-01-31,900,1275,875,925,1076656500,0,0,0,0
2001-02-28,900,950,800,850,251626500,0,0,0,0
2001-03-31,850,850,725,750,241908500,0,0,0,0
2001-04-30,750,850,725,800,583761500,0,0,0,0
2001-05-31,800,850,750,850,407550500,0,0,0,0
2001-06-30,825,975,800,850,929095000,0,0,0,0
2001-07-31,850,850,775,800,299631000,0,0,0,0
2001-08-31,800,825,700,700,235190500,0,0,0,0
2001-09-30,700,725,650,675,281096000,0,0,0,0
2001-10-31,675,675,550,625,298989500,0,0,0,0
2001-11-30,625,650,575,625,483700500,0,0,0,0
2001-12-31,625,850,600,775,529833500,0,0,0,0
2002-01-31,775,825,700,750,341494500,0,0,0,0
2002-02-28,775,850,725,800,480447000,0,0,0,0
2002-03-31,825,1150,800,1050,1106604500,0,0,0,0
2002-04-30,1050,1100,925,1100,483399000,0,0,0,0
2002-05-31,1100,1250,1000,1075,923100000,0,0,0,0
2002-06-30,1075,1175,975,1125,442919000,0,0,0,0
2002-07-31,1100,1100,900,925,391256000,0,0,0,0
2002-08-31,925,925,675,750,548136000,0,0,0,0
2002-09-30,725,775,475,625,648098500,0,0,0,0
2002-10-31,625,700,550,575,961148000,0,0,0,0
2002-11-30,575,650,575,600,222744000,0,0,0,0
2002-12-31,600,625,550,575,187379000,0,0,0,0
2003-01-31,550,575,550,575,76610000,0,0,0,0
2003-02-28,575,625,550,600,178027500,0,0,0,0
2003-03-31,575,750,575,725,659699000,0,0,0,0
2003-04-30,725,875,700,875,562145500,0,0,0,0
2003-05-31,875,950,800,850,484620000,0,0,0,0
2003-06-30,850,900,725,775,267919500,0,0,0,0
2003-07-31,750,750,650,675,286906000,0,0,0,0
2003-08-31,675,775,650,725,482229000,0,0,0,0
2003-09-30,725,825,675,700,465941000,0,0,0,0
2003-10-31,675,725,625,675,206487000,0,0,0,0
2003-11-30,675,825,675,800,497447000,0,0,0,0
2003-12-31,800,925,775,850,708267000,0,0,0,0
2004-01-31,850,875,800,850,207928500,0,0,0,0
2004-02-29,850,875,725,800,315181000,0,0,0,0
2004-03-31,800,825,725,750,265480000,0,0,0,0
2004-04-30,750,750,600,700,259512000,0,0,0,0
2004-05-31,675,700,625,700,100948000,0,0,0,0
2004-06-30,675,750,650,700,158581000,0,0,0,0
2004-07-31,700,725,625,675,86993500,0,0,0,0
2004-08-31,650,750,650,675,188011500,0,0,0,0
2004-09-30,700,725,675,675,110670000,0,0,0,0
2004-10-31,675,750,675,750,288158500,0,0,0,0
2004-11-30,750,800,700,800,381472500,0,0,0,0
2004-12-31,790,910,780,870,760706500,0,0,0,0
2005-01-31,870,960,840,930,708735500,0,0,0,0
2005-02-28,930,1360,930,1160,2016350500,0,0,0,0
2005-03-31,1150,1220,1010,1020,591145000,0,0,0,0
2005-04-30,1020,1200,970,1200,437411000,0,0,0,0
2005-05-31,1200,1230,1050,1100,457769500,0,0,0,0
2005-06-30,1100,1140,1070,1090,529615000,0,0,0,0
2005-07-31,1090,1100,740,790,621131000,0,0,0,0
2005-08-31,780,890,667,727,718127500,0,0,0,0
2005-09-30,707,836,687,816,646291500,0,0,0,0
2005-10-31,816,866,797,846,216189500,0,0,0,0
2005-11-30,846,966,836,906,390082500,0,0,0,0
2005-12-31,906,986,816,876,368037000,0,0,0,0
2006-01-31,866,926,826,836,263139000,0,0,0,0
2006-02-28,836,886,807,886,679048500,0,0,0,0
2006-03-31,876,1135,856,1125,958722000,0,0,0,0
2006-04-30,1115,1235,876,936,1330346996,0,0,0,0
2006-05-31,956,1026,836,876,712587504,0,0,0,0
2006-06-30,876,1045,866,1045,665766504,0,0,0,0
2006-07-31,1036,1215,1006,1185,817762008,0,0,0,0
2006-08-31,1185,1274,1115,1245,570934004,0,0,0,0
2006-09-30,1245,1334,1225,1324,333738004,0,0,0,0
2006-10-31,1334,1444,1304,1394,496542000,0,0,0,0
2006-11-30,1394,1424,1265,1350,280397000,0,0,0,0
2006-12-31,1350,1723,1274,1683,881261500,0,0,0,0
2007-01-31,1693,1802,1444,1553,526420500,0,0,0,0
2007-02-28,1563,1573,1364,1513,529827996,0,0,0,0
2007-03-31,1523,1732,1513,1633,480743500,0,0,0,0
2007-04-30,1623,1822,1623,1693,455401500,0,0,0,0
2007-05-31,1693,2190,1693,2016,554214492,0,0,0,0
2007-06-30,2016,2265,1991,2190,468273500,0,0,0,0
2007-07-31,1966,1991,1553,1852,363500000,0,0,0,0
2007-08-31,1852,1971,1772,1942,346359000,0,0,0,0
2007-09-30,1932,2190,1902,2190,655039000,0,0,0,0
2007-10-31,2215,2788,2116,2514,1012065000,0,0,0,0
2007-11-30,2514,2713,2390,2564,170765000,0,0,0,0
2007-12-31,2564,3261,2464,2813,825738004,0,0,0,0
2008-01-31,2838,3062,2663,2912,491701496,0,0,0,0
2008-02-29,2813,2937,2141,2315,421774500,0,0,0,0
2008-03-31,2340,2464,1892,2166,462631000,0,0,0,0
2008-04-30,2166,2166,2166,2166,372280000,0,0,0,0
2008-05-31,2166,2738,2166,2390,261065500,0,0,0,0
2008-06-30,2415,2439,1991,2265,229980500,0,0,0,0
2008-07-31,2265,2265,1842,2240,357583496,0,0,0,0
2008-08-31,2215,2265,1742,1952,316168500,0,0,0,0
2008-09-30,1952,1952,936,1085,389302000,0,0,0,0
2008-10-31,1145,1284,836,926,766097004,0,0,0,0
2008-11-30,1006,1026,866,926,723816000,0,0,0,0
2008-12-31,926,1125,916,976,1194885996,0,0,0,0
2009-01-31,956,1026,856,876,559789504,0,0,0,0
2009-02-28,856,996,816,936,586234004,0,0,0,0
2009-03-31,946,1294,896,1274,2116855976,0,0,0,0
2009-04-30,1274,1942,1235,1772,989580488,0,0,0,0
2009-05-31,1792,1981,1613,1882,973927996,0,0,0,0
2009-06-30,1872,2340,1723,2265,915396992,0,0,0,0
2009-07-31,2290,2713,2166,2489,966820508,0,0,0,0
2009-08-31,2489,3037,2365,3012,757673500,0,0,0,0
2009-09-30,3037,3286,2688,3062,423420000,0,0,0,0
2009-10-31,2962,3236,2912,3062,225442000,0,0,0,0
2009-11-30,3161,3609,3062,3535,222003500,0,0,0,0
2009-12-31,3535,3883,3385,3584,330655000,0,0,0,0
2010-01-31,3584,3933,3360,3784,291568500,0,0,0,0
2010-02-28,3883,4207,3684,3759,327270000,0,0,0,0
2010-03-31,3734,3933,3684,3883,392018004,0,0,0,0
2010-04-30,3858,3933,3286,3634,600664492,0,0,0,0
2010-05-31,3659,4207,3460,4033,443204000,0,0,0,0
2010-06-30,4082,4705,4082,4605,326752000,0,0,0,0
2010-07-31,4655,4829,4082,4530,745419504,0,0,0,0
2010-08-31,4555,5775,4431,5426,597015500,0,0,0,0
2010-09-30,5426,5675,4779,5200,626519492,0,0,0,0
2010-10-31,5200,5200,4525,4575,342784000,0,0,0,0
2010-11-30,4600,4975,4425,4875,330430500,0,0,0,0
2010-12-31,4875,5100,4300,4700,331366500,0,0,0,0
2011-01-31,4700,4900,4550,4750,168918500,0,0,0,0
2011-02-28,4750,5450,4750,5400,265846000,0,0,0,0
2011-03-31,5450,5700,5200,5550,172352500,0,0,0,0
2011-04-30,5550,5750,5250,5400,227978500,0,0,0,0
2011-05-31,5400,5850,5150,5750,230155500,0,0,0,0
2011-06-30,5850,6500,5700,6350,229505000,0,0,0,0
2011-07-31,6400,6800,5850,6100,349352000,0,0,0,0
