date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2004-09-30,830,880,825,870,2747420000,0,0,0,0
2004-10-31,870,1030,865,1000,1877697500,0,0,0,0
2004-11-30,1000,1060,905,965,2680377500,0,0,0,0
2004-12-31,975,1025,950,960,2420252500,0,0,0,0
2005-01-31,965,975,875,885,1953932500,0,0,0,0
2005-02-28,885,935,835,895,3528717500,0,0,0,0
2005-03-31,900,945,850,855,1347762500,0,0,0,0
2005-04-30,855,955,820,930,1845715000,0,0,0,0
2005-05-31,935,1070,930,1000,1940347500,0,0,0,0
2005-06-30,1000,1180,980,1110,1613512500,0,0,0,0
2005-07-31,1110,1150,940,1030,2503710000,0,0,0,0
2005-08-31,1000,1140,970,1070,2618910000,0,0,0,0
2005-09-30,1060,1110,990,1000,1675250000,0,0,0,0
2005-10-31,1010,1100,965,1100,1342072500,0,0,0,0
2005-11-30,1090,1250,1080,1180,1919772500,0,0,0,0
2005-12-31,1220,1320,1190,1260,1978705000,0,0,0,0
2006-01-31,1260,1290,1190,1240,1761402500,0,0,0,0
2006-02-28,1220,1440,1210,1380,1949720000,0,0,0,0
2006-03-31,1390,1600,1370,1510,1593157500,0,0,0,0
2006-04-30,1540,1700,1360,1410,3791252500,0,0,0,0
2006-05-31,1440,1540,1330,1470,2617300000,0,0,0,0
2006-06-30,1460,1510,1400,1490,1739760000,0,0,0,0
2006-07-31,1530,1630,1490,1580,1342627500,0,0,0,0
2006-08-31,1570,1690,1530,1690,1509080000,0,0,0,0
2006-09-30,1680,1720,1630,1680,1169600000,0,0,0,0
2006-10-31,1690,2010,1670,1980,2104555000,0,0,0,0
2006-11-30,1980,2170,1910,2020,2582690000,0,0,0,0
2006-12-31,2020,2090,1860,1890,2117285000,0,0,0,0
2007-01-31,1910,1950,1710,1780,2367280000,0,0,0,0
2007-02-28,1850,1980,1790,1970,1766315000,0,0,0,0
2007-03-31,1980,2170,1970,2100,1747207500,0,0,0,0
2007-04-30,2070,2100,1860,1910,2708472500,0,0,0,0
2007-05-31,1910,1980,1910,1970,2248002500,0,0,0,0
2007-06-30,1980,2320,1960,2240,2645725000,0,0,0,0
2007-07-31,2140,2250,1910,2170,1841075000,0,0,0,0
2007-08-31,2230,2270,2120,2200,1663825000,0,0,0,0
2007-09-30,2270,2550,2110,2150,3360920000,0,0,0,0
2007-10-31,2200,2320,1970,2030,3719347500,0,0,0,0
2007-11-30,2050,2250,1960,2030,2406735000,0,0,0,0
2007-12-31,2030,2060,1650,1850,3891420000,0,0,0,0
2008-01-31,1860,2050,1820,1960,2184077500,0,0,0,0
2008-02-29,1920,2000,1770,1930,2002720000,0,0,0,0
2008-03-31,1930,1970,1720,1770,2099422500,0,0,0,0
2008-04-30,1770,1820,1560,1620,2288115000,0,0,0,0
2008-05-31,1620,1660,1440,1460,2735690000,0,0,0,0
2008-06-30,1510,1620,1310,1540,3153022500,0,0,0,0
2008-07-31,1530,1620,1440,1600,2627082500,0,0,0,0
2008-08-31,1570,1600,1180,1430,2536620000,0,0,0,0
2008-09-30,1430,1570,970,1080,3208740000,0,0,0,0
2008-10-31,1060,1290,1030,1170,2569360000,0,0,0,0
2008-11-30,1140,1480,1100,1380,1514362500,0,0,0,0
2008-12-31,1380,1490,1240,1260,1123380000,0,0,0,0
2009-01-31,1200,1330,1150,1260,1014890000,0,0,0,0
2009-02-28,1250,1580,1230,1510,1249265000,0,0,0,0
2009-03-31,1460,1600,1370,1570,2705142500,0,0,0,0
