date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2003-09-30,670,675,620,645,233740000,0,0,0,0
2003-10-31,640,665,625,635,111587500,0,0,0,0
2003-11-30,640,755,640,725,366847500,0,0,0,0
2003-12-31,725,795,700,765,183650000,0,0,0,0
2004-01-31,765,775,670,680,278525000,0,0,0,0
2004-02-29,680,735,665,710,277737500,0,0,0,0
2004-03-31,710,765,695,735,266017500,0,0,0,0
2004-04-30,735,765,675,720,154570000,0,0,0,0
2004-05-31,720,790,715,785,259220000,0,0,0,0
2004-06-30,775,815,745,755,163015000,0,0,0,0
2004-07-31,755,775,655,670,518222500,0,0,0,0
2004-08-31,670,700,645,650,731905000,0,0,0,0
2004-09-30,655,670,610,655,678297500,0,0,0,0
2004-10-31,650,670,635,665,409870000,0,0,0,0
2004-11-30,665,670,635,660,377625000,0,0,0,0
2004-12-31,665,705,660,700,404510000,0,0,0,0
2005-01-31,695,725,695,710,181925000,0,0,0,0
2005-02-28,715,780,710,765,190452500,0,0,0,0
2005-03-31,760,780,705,750,73382500,0,0,0,0
2005-04-30,745,930,730,915,170830000,0,0,0,0
2005-05-31,910,910,795,815,206770000,0,0,0,0
2005-06-30,825,900,820,870,108682500,0,0,0,0
2005-07-31,870,945,820,845,138275000,0,0,0,0
2005-08-31,840,840,745,815,211302520,0,0,0,0
2005-09-30,840,945,800,875,32032760,0,0,0,0
2005-10-31,870,935,840,865,26552760,0,0,0,0
2005-11-30,860,905,840,855,23237820,0,0,0,0
2005-12-31,860,905,835,860,57337780,0,0,0,0
2006-01-31,860,880,830,855,42922720,0,0,0,0
2006-02-28,860,870,835,850,90052680,0,0,0,0
2006-03-31,840,920,835,915,184247720,0,0,0,0
2006-04-30,940,1020,795,805,127945280,0,0,0,0
2006-05-31,840,870,725,825,33492860,0,0,0,0
2006-06-30,820,875,815,845,22162780,0,0,0,0
2006-07-31,850,910,845,895,24830255,0,0,0,0
2006-08-31,900,920,860,920,13297780,0,0,0,0
2006-09-30,915,975,905,960,10977760,0,0,0,0
2006-10-31,960,1260,960,1200,31860335,0,0,0,0
2006-11-30,1210,1370,1200,1320,21310275,0,0,0,0
2006-12-31,1320,1380,1130,1170,30910370,0,0,0,0
2007-01-31,1180,1240,1080,1120,18210275,0,0,0,0
2007-02-28,1130,1150,1060,1140,44652760,0,0,0,0
2007-03-31,1120,1240,1110,1130,53830300,0,0,0,0
2007-04-30,1130,1270,1120,1260,108037760,0,0,0,0
2007-05-31,1260,1470,1220,1340,86337800,0,0,0,0
2007-06-30,1350,1540,1320,1510,86285260,0,0,0,0
2007-07-31,1440,1500,1080,1360,114250280,0,0,0,0
2007-08-31,1380,1420,1320,1360,33417800,0,0,0,0
2007-09-30,1370,1530,1330,1330,167457720,0,0,0,0
2007-10-31,1360,1380,1240,1330,266895095,0,0,0,0
2007-11-30,1340,1390,1280,1350,93405080,0,0,0,0
2007-12-31,1350,1440,1220,1380,188545060,0,0,0,0
2008-01-31,1390,1400,1290,1360,51560255,0,0,0,0
2008-02-29,1330,1400,1300,1380,93895110,0,0,0,0
2008-03-31,1380,1400,1280,1360,121785080,0,0,0,0
2008-04-30,1360,1430,1320,1350,105502500,0,0,0,0
2008-05-31,1350,1400,1320,1350,56037720,0,0,0,0
2008-06-30,1360,1400,1230,1380,35060340,0,0,0,0
2008-07-31,1320,1450,1310,1450,15242820,0,0,0,0
2008-08-31,1480,1680,1340,1500,20925380,0,0,0,0
2008-09-30,1500,1680,1230,1490,93265260,0,0,0,0
2008-10-31,1590,1670,1420,1540,44407820,0,0,0,0
2008-11-30,1530,1640,1450,1560,42795280,0,0,0,0
2008-12-31,1560,1760,1550,1580,44807760,0,0,0,0
2009-01-31,1580,1680,1570,1610,5475340,0,0,0,0
2009-02-28,1600,1640,1560,1590,37345300,0,0,0,0
2009-03-31,1550,1610,1500,1550,93047780,0,0,0,0
2009-04-30,1530,1610,1520,1570,68020340,0,0,0,0
2009-05-31,1580,1950,1560,1850,61372860,0,0,0,0
2009-06-30,1840,2420,1840,2320,27167780,0,0,0,0
2009-07-31,2280,2320,2010,2020,32012800,0,0,0,0
2009-08-31,2030,2220,2000,2140,43640300,0,0,0,0
2009-09-30,2180,2280,1870,2020,9070400,0,0,0,0
2009-10-31,2010,2320,1960,2210,28557760,0,0,0,0
2009-11-30,2210,2390,2120,2210,25505230,0,0,0,0
2009-12-31,2210,2350,2190,2260,18655300,0,0,0,0
2010-01-31,2290,2340,2110,2300,67990060,0,0,0,0
2010-02-28,2300,2640,2260,2430,165762500,0,0,0,0
2010-03-31,2430,2800,2400,2770,120215000,0,0,0,0
2010-04-30,2890,3310,2720,3120,175372500,0,0,0,0
2010-05-31,3000,3780,3000,3400,196795000,0,0,0,0
2010-06-30,3400,3470,3260,3390,212290020,0,0,0,0
2010-07-31,3350,3430,3190,3220,178277500,0,0,0,0
2010-08-31,3250,3450,3190,3370,210525000,0,0,0,0
2010-09-30,3420,3840,3370,3490,171517500,0,0,0,0
2010-10-31,3380,3500,3000,3000,306155000,0,0,0,0
2010-11-30,3140,3400,3000,3300,199447500,0,0,0,0
2010-12-31,3210,3330,2760,3010,219865000,0,0,0,0
