ticker,name,sector,industry,market_cap
SMLE,Sinergi Multi Lestarindo Tbk.,Basic Materials,Specialty Chemicals,516849991680
BKDP,Bukit Darmo Property Tbk,Real Estate,Real Estate Services,1345004634112
VERN,Verona Indah Pictures Tbk.,Communication Services,Entertainment,1162818224128
PSDN,Prasidha Aneka Niaga Tbk,Consumer Defensive,Packaged Foods,207360000000
GRIA,Ingria Pratama Capitalindo Tbk.,Real Estate,Real Estate - Development,1349756780544
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclical,Auto & Truck Dealerships,879498493952
RISE,Jaya Sukses Makmur Sentosa Tbk.,Real Estate,Real Estate - Development,13768809512960
DSFI,Dharma Samudera Fishing Industr,Consumer Defensive,Farm Products,178285002752
MAYA,Bank Mayapada Internasional Tbk,Financial Services,Banks - Regional,5495250223104
BAIK,Bersama Mencapai Puncak Tbk.,Consumer Cyclical,Restaurants,286384390144
SCNP,Selaras Citra Nusantara Perkasa,Technology,Consumer Electronics,387687743488
IOTF,Sumber Sinergi Makmur Tbk.,Technology,Communication Equipment,343869358080
MSIE,Multisarana Intan Eduka Tbk.,Real Estate,Real Estate Services,270101446656
CARS,Industri dan Perdagangan Bintra,Consumer Cyclical,Auto & Truck Dealerships,1785000099840
ARII,Atlas Resources Tbk.,Energy,Thermal Coal,1132500090880
NATO,Olympus Strategic Indonesia Tbk,Consumer Cyclical,Lodging,9241283788800
AMIN,Ateliers Mecaniques D Indonesie,Industrials,Specialty Industrial Machinery,295920009216
BCIC,Bank JTrust Indonesia Tbk.,Financial Services,Banks - Regional,2535388872704
URBN,Urban Jakarta Propertindo Tbk.,Real Estate,Real Estate - Development,786138726400
VINS,Victoria Insurance Tbk.,Financial Services,Insurance - Property & Casualty,219086028800
