date,open,high,low,close,adj_close,volume,dividends,splits,source
2003-09-03,615.0,675.0,605.0,675.0,320.94775390625,43162500,0.0,0.0,yfinance_raw_daily
2003-09-04,690.0,750.0,675.0,685.0,325.70263671875,82850000,0.0,0.0,yfinance_raw_daily
2003-09-05,685.0,700.0,680.0,690.0,328.0802001953125,24055000,0.0,0.0,yfinance_raw_daily
2003-09-08,690.0,690.0,665.0,680.0,323.3252258300781,18007500,0.0,0.0,yfinance_raw_daily
2003-09-09,680.0,680.0,660.0,665.0,316.1930236816406,14075000,0.0,0.0,yfinance_raw_daily
2003-09-10,660.0,660.0,640.0,640.0,304.3061218261719,14190000,0.0,0.0,yfinance_raw_daily
2003-09-11,640.0,645.0,640.0,640.0,304.3061218261719,7087500,0.0,0.0,yfinance_raw_daily
2003-09-12,645.0,670.0,645.0,660.0,313.8157653808594,15392500,0.0,0.0,yfinance_raw_daily
2003-09-15,660.0,665.0,645.0,650.0,309.06085205078125,9137500,0.0,0.0,yfinance_raw_daily
2003-09-16,655.0,665.0,655.0,665.0,316.1930236816406,8705000,0.0,0.0,yfinance_raw_daily
2003-09-17,670.0,670.0,660.0,665.0,316.1930236816406,8890000,0.0,0.0,yfinance_raw_daily
2003-09-18,660.0,660.0,655.0,660.0,313.8157653808594,5075000,0.0,0.0,yfinance_raw_daily
2003-09-19,660.0,660.0,660.0,660.0,313.8157653808594,1787500,0.0,0.0,yfinance_raw_daily
2003-09-22,660.0,660.0,660.0,660.0,313.8157653808594,0,0.0,0.0,yfinance_raw_daily
2003-09-23,660.0,665.0,655.0,660.0,313.8157653808594,7242500,0.0,0.0,yfinance_raw_daily
2003-09-24,665.0,665.0,665.0,665.0,316.1930236816406,5100000,0.0,0.0,yfinance_raw_daily
2003-09-25,665.0,680.0,665.0,670.0,318.5704650878906,13552500,0.0,0.0,yfinance_raw_daily
2003-09-26,670.0,670.0,660.0,665.0,316.1930236816406,9102500,0.0,0.0,yfinance_raw_daily
2003-09-29,665.0,665.0,655.0,660.0,313.8157653808594,2212500,0.0,0.0,yfinance_raw_daily
2003-09-30,665.0,675.0,665.0,670.0,318.5704650878906,14197500,0.0,0.0,yfinance_raw_daily
2003-10-01,670.0,675.0,665.0,665.0,316.1930236816406,2340000,0.0,0.0,yfinance_raw_daily
2003-10-02,670.0,670.0,665.0,670.0,318.5704650878906,16442500,0.0,0.0,yfinance_raw_daily
2003-10-03,670.0,670.0,665.0,665.0,316.1930236816406,12162500,0.0,0.0,yfinance_raw_daily
2003-10-06,665.0,665.0,660.0,660.0,313.8157653808594,13135000,0.0,0.0,yfinance_raw_daily
2003-10-07,665.0,665.0,660.0,665.0,316.1930236816406,7335000,0.0,0.0,yfinance_raw_daily
2003-10-08,665.0,665.0,660.0,660.0,313.8157653808594,15170000,0.0,0.0,yfinance_raw_daily
2003-10-09,660.0,660.0,660.0,660.0,313.8157653808594,17857500,0.0,0.0,yfinance_raw_daily
2003-10-10,665.0,665.0,655.0,655.0,311.43829345703125,6077500,0.0,0.0,yfinance_raw_daily
2003-10-13,660.0,660.0,655.0,660.0,313.8157653808594,1145000,0.0,0.0,yfinance_raw_daily
2003-10-14,660.0,665.0,660.0,660.0,313.8157653808594,9725000,0.0,0.0,yfinance_raw_daily
2003-10-15,660.0,660.0,650.0,650.0,309.06085205078125,12750000,0.0,0.0,yfinance_raw_daily
2003-10-16,655.0,655.0,650.0,650.0,309.06085205078125,7362500,0.0,0.0,yfinance_raw_daily
2003-10-17,655.0,655.0,650.0,655.0,311.43829345703125,11207500,0.0,0.0,yfinance_raw_daily
2003-10-20,655.0,655.0,650.0,650.0,309.06085205078125,8195000,0.0,0.0,yfinance_raw_daily
2003-10-21,650.0,650.0,650.0,650.0,309.06085205078125,7077500,0.0,0.0,yfinance_raw_daily
2003-10-22,650.0,650.0,640.0,640.0,304.3061218261719,8332500,0.0,0.0,yfinance_raw_daily
2003-10-23,640.0,640.0,620.0,620.0,294.79656982421875,18522500,0.0,0.0,yfinance_raw_daily
2003-10-24,630.0,650.0,630.0,645.0,306.68359375,4672500,0.0,0.0,yfinance_raw_daily
2003-10-27,645.0,650.0,640.0,645.0,306.68359375,6855000,0.0,0.0,yfinance_raw_daily
2003-10-28,650.0,655.0,640.0,645.0,306.68359375,11830000,0.0,0.0,yfinance_raw_daily
2003-10-29,640.0,640.0,630.0,635.0,301.9288024902344,7225000,0.0,0.0,yfinance_raw_daily
2003-10-30,635.0,635.0,620.0,625.0,297.1739501953125,6600000,0.0,0.0,yfinance_raw_daily
2003-10-31,625.0,645.0,625.0,645.0,306.68359375,21720000,0.0,0.0,yfinance_raw_daily
2003-11-03,640.0,640.0,635.0,640.0,304.3061218261719,4307500,0.0,0.0,yfinance_raw_daily
2003-11-04,640.0,655.0,640.0,650.0,309.06085205078125,14200000,0.0,0.0,yfinance_raw_daily
2003-11-05,650.0,650.0,640.0,640.0,304.3061218261719,6282500,0.0,0.0,yfinance_raw_daily
2003-11-06,640.0,645.0,640.0,645.0,306.68359375,4260000,0.0,0.0,yfinance_raw_daily
2003-11-07,645.0,650.0,645.0,650.0,309.06085205078125,10940000,0.0,0.0,yfinance_raw_daily
2003-11-10,645.0,660.0,645.0,660.0,313.8157653808594,8895000,0.0,0.0,yfinance_raw_daily
2003-11-11,655.0,660.0,650.0,660.0,313.8157653808594,13595000,0.0,0.0,yfinance_raw_daily
2003-11-12,660.0,665.0,655.0,655.0,311.43829345703125,12485000,0.0,0.0,yfinance_raw_daily
2003-11-13,645.0,645.0,640.0,645.0,313.3818359375,9012500,14.0,0.0,yfinance_raw_daily
2003-11-14,640.0,645.0,640.0,640.0,310.9524230957031,2102500,0.0,0.0,yfinance_raw_daily
2003-11-17,640.0,640.0,635.0,635.0,308.523193359375,4522500,0.0,0.0,yfinance_raw_daily
2003-11-18,630.0,635.0,630.0,635.0,308.523193359375,3337500,0.0,0.0,yfinance_raw_daily
