BBCA (BBCA.JK): rebuilt, rows=5479, range=2004-06-08..2026-08-28, issues=-
BBRI (BBRI.JK): rebuilt, rows=5630, range=2003-11-10..2026-08-28, issues=-
BMRI (BMRI.JK): rebuilt, rows=5715, range=2003-07-14..2026-08-28, issues=-
TLKM (TLKM.JK): rebuilt, rows=5398, range=2004-09-28..2026-08-28, issues=-
ASII (ASII.JK): rebuilt, rows=6428, range=2000-10-17..2026-08-28, issues=-
GOTO (GOTO.JK): rebuilt, rows=1048, range=2022-04-11..2026-08-28, issues=-
INDF (INDF.JK): rebuilt, rows=6440, range=2000-10-02..2026-08-28, issues=-
ICBP (ICBP.JK): rebuilt, rows=6439, range=2000-10-02..2026-08-28, issues=-
ADRO (ADRO.JK): rebuilt, rows=4447, range=2008-07-16..2026-08-28, issues=-
UNVR (UNVR.JK): rebuilt, rows=5678, range=2003-09-03..2026-08-28, issues=-
BUMI (BUMI.JK): rebuilt, rows=6262, range=2001-06-07..2026-08-28, issues=-
DEWA (DEWA.JK): rebuilt, rows=4639, range=2007-09-26..2026-08-28, issues=-
