ticker,symbol,status,rows,date_start,date_end,issues,output_path
BBCA,BBCA.JK,rebuilt,5392,2004-06-08,2026-04-22,,data/stocks/BBCA.csv
BBRI,BBRI.JK,rebuilt,5543,2003-11-10,2026-04-22,,data/stocks/BBRI.csv
BMRI,BMRI.JK,rebuilt,5628,2003-07-14,2026-04-22,,data/stocks/BMRI.csv
BBNI,BBNI.JK,rebuilt,5512,2003-12-23,2026-04-22,,data/stocks/BBNI.csv
BBTN,BBTN.JK,rebuilt,4014,2009-12-17,2026-04-22,,data/stocks/BBTN.csv
TLKM,TLKM.JK,rebuilt,5311,2004-09-28,2026-04-22,,data/stocks/TLKM.csv
EXCL,EXCL.JK,rebuilt,5060,2005-09-29,2026-04-22,,data/stocks/EXCL.csv
ISAT,ISAT.JK,rebuilt,5450,2004-03-18,2026-04-22,,data/stocks/ISAT.csv
PGAS,PGAS.JK,rebuilt,5517,2003-12-15,2026-04-22,,data/stocks/PGAS.csv
ASII,ASII.JK,rebuilt,6341,2000-10-17,2026-04-22,,data/stocks/ASII.csv
UNTR,UNTR.JK,rebuilt,6371,2000-09-05,2026-04-22,,data/stocks/UNTR.csv
ADRO,ADRO.JK,rebuilt,4360,2008-07-16,2026-04-22,,data/stocks/ADRO.csv
PTBA,PTBA.JK,rebuilt,5772,2002-12-23,2026-04-22,,data/stocks/PTBA.csv
ITMG,ITMG.JK,rebuilt,4496,2007-12-18,2026-04-22,,data/stocks/ITMG.csv
MEDC,MEDC.JK,rebuilt,6437,2000-06-06,2026-04-22,,data/stocks/MEDC.csv
ANTM,ANTM.JK,rebuilt,5060,2005-09-29,2026-04-22,,data/stocks/ANTM.csv
INCO,INCO.JK,rebuilt,5059,2005-09-29,2026-04-22,,data/stocks/INCO.csv
INDF,INDF.JK,rebuilt,6353,2000-10-02,2026-04-22,,data/stocks/INDF.csv
ICBP,ICBP.JK,rebuilt,6352,2000-10-02,2026-04-22,,data/stocks/ICBP.csv
MYOR,MYOR.JK,rebuilt,6316,2000-11-22,2026-04-22,,data/stocks/MYOR.csv
KLBF,KLBF.JK,rebuilt,5518,2003-12-15,2026-04-22,,data/stocks/KLBF.csv
UNVR,UNVR.JK,rebuilt,5591,2003-09-03,2026-04-22,,data/stocks/UNVR.csv
CPIN,CPIN.JK,rebuilt,5059,2005-09-29,2026-04-22,,data/stocks/CPIN.csv
JPFA,JPFA.JK,rebuilt,6266,2001-01-31,2026-04-22,,data/stocks/JPFA.csv
SMGR,SMGR.JK,rebuilt,5060,2005-09-29,2026-04-22,,data/stocks/SMGR.csv
INTP,INTP.JK,rebuilt,6305,2000-12-06,2026-04-22,,data/stocks/INTP.csv
JSMR,JSMR.JK,rebuilt,4521,2007-11-12,2026-04-22,,data/stocks/JSMR.csv
AKRA,AKRA.JK,rebuilt,5060,2005-09-29,2026-04-22,,data/stocks/AKRA.csv
TPIA,TPIA.JK,rebuilt,5859,2002-08-23,2026-04-22,,data/stocks/TPIA.csv
ACES,ACES.JK,rebuilt,4525,2007-11-06,2026-04-22,,data/stocks/ACES.csv
AALI,AALI.JK,rebuilt,6220,2001-04-05,2026-04-22,,data/stocks/AALI.csv
AMRT,AMRT.JK,rebuilt,4243,2009-01-15,2026-04-22,,data/stocks/AMRT.csv
AUTO,AUTO.JK,rebuilt,6299,2000-12-14,2026-04-22,,data/stocks/AUTO.csv
BRPT,BRPT.JK,rebuilt,5901,2002-06-26,2026-04-22,,data/stocks/BRPT.csv
BSDE,BSDE.JK,rebuilt,4388,2008-06-06,2026-04-22,,data/stocks/BSDE.csv
CTRA,CTRA.JK,rebuilt,6330,2000-11-01,2026-04-22,,data/stocks/CTRA.csv
ERAA,ERAA.JK,rebuilt,3527,2011-12-14,2026-04-22,,data/stocks/ERAA.csv
ESSA,ESSA.JK,rebuilt,3493,2012-02-01,2026-04-22,,data/stocks/ESSA.csv
GGRM,GGRM.JK,rebuilt,6174,2001-06-07,2026-04-22,,data/stocks/GGRM.csv
HMSP,HMSP.JK,rebuilt,6097,2001-09-25,2026-04-22,,data/stocks/HMSP.csv
INDY,INDY.JK,rebuilt,4386,2008-06-11,2026-04-22,,data/stocks/INDY.csv
LSIP,LSIP.JK,rebuilt,5947,2002-04-22,2026-04-22,,data/stocks/LSIP.csv
MAPI,MAPI.JK,rebuilt,5280,2004-11-10,2026-04-22,,data/stocks/MAPI.csv
MIKA,MIKA.JK,rebuilt,2716,2015-03-24,2026-04-22,,data/stocks/MIKA.csv
MNCN,MNCN.JK,rebuilt,4618,2007-06-22,2026-04-22,,data/stocks/MNCN.csv
PWON,PWON.JK,rebuilt,5059,2005-09-29,2026-04-22,,data/stocks/PWON.csv
RALS,RALS.JK,rebuilt,5294,2004-10-22,2026-04-22,,data/stocks/RALS.csv
SCMA,SCMA.JK,rebuilt,5887,2002-07-16,2026-04-22,,data/stocks/SCMA.csv
SILO,SILO.JK,rebuilt,3090,2013-09-12,2026-04-22,,data/stocks/SILO.csv
TBIG,TBIG.JK,rebuilt,3807,2010-10-26,2026-04-22,,data/stocks/TBIG.csv
