ticker,sector,category,company_name,interval_type,rows_1d,date_start,date_end,export_source,sentiment_series_included,sentiment_columns,sentiment_alignment,sentiment_fill_policy,sentiment_trade_date_start,sentiment_trade_date_end,sentiment_days_with_articles,sentiment_article_count_total
ADRO,energi,energy,"Adaro Energy Indonesia Tbk",1d,2597,2008-07-31,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2008-07-31,2026-04-22,9,16
ASII,otomotif,automotive,"Astra International Tbk",1d,2690,2000-10-31,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2000-10-31,2026-04-22,6,12
BBCA,perbankan,finance,"Bank Central Asia Tbk",1d,2647,2004-06-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2004-06-30,2026-04-22,8,22
BBRI,perbankan,finance,"Bank Rakyat Indonesia Tbk",1d,2654,2003-11-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2003-11-30,2026-04-22,9,14
BMRI,perbankan,finance,"Bank Mandiri Tbk",1d,2658,2003-07-31,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2003-07-31,2026-04-22,9,36
BUMI,pertambangan,mining,"Bumi Resources Tbk",1d,2683,2001-06-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2001-06-30,2026-04-22,7,24
DEWA,pertambangan,mining,"Darma Henwa Tbk",1d,2608,2007-09-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2007-09-30,2026-04-22,9,15
GOTO,teknologi,technology,"GoTo Gojek Tokopedia Tbk",1d,1171,2022-04-10,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2022-04-10,2026-04-22,9,15
ICBP,konsumsi,consumer,"Indofood CBP Sukses Makmur Tbk",1d,2690,2000-10-31,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2000-10-31,2026-04-22,8,11
INDF,konsumsi,consumer,"Indofood Sukses Makmur Tbk",1d,2691,2000-10-31,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2000-10-31,2026-04-22,8,9
TLKM,telekomunikasi,telco,"Telkom Indonesia Tbk",1d,2643,2004-09-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2004-09-30,2026-04-22,11,19
UNVR,konsumsi,consumer,"Unilever Indonesia Tbk",1d,2656,2003-09-30,2026-04-22,laravel_stock_prices,yes,sentiment_average_1d|sentiment_weighted_1d|sentiment_news_count_1d|sentiment_unavailable_count_1d,trade_date_window_prev_trade_exclusive_current_trade_inclusive,zero_score_and_zero_count_when_no_sentiment_available_and_track_unavailable_count,2003-09-30,2026-04-22,7,11
