ticker,config_id,best_hold_period,best_min_trades_threshold,profit_buffer_pct,decision_confidence,decision_margin,eligible_for_analysis,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,score,selection_reason,category,market_cap_group,sector,beta_group
BBCA,hold_5_mintrades_10,5,10,0.0,strong,7.7042,True,105,54.29,54.2857,0.1928,20.0434,46.746,"Config hold_5_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=5, min_trades=10, total_trades=105, buffered_win_rate=+54.29, average_return=+0.1928, max_drawdown=+20.0434. confidence=strong.",finance,,perbankan,
ASII,hold_5_mintrades_10,5,10,0.0,strong,5.933299999999996,True,86,47.67,47.6744,0.3842,19.4098,45.5579,"Config hold_5_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=5, min_trades=10, total_trades=86, buffered_win_rate=+47.67, average_return=+0.3842, max_drawdown=+19.4098. confidence=strong.",automotive,,otomotif,
DEWA,hold_3_mintrades_10,3,10,0.0,strong,6.9193,True,84,42.86,42.8571,0.7469,50.2716,29.5886,"Config hold_3_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=3, min_trades=10, total_trades=84, buffered_win_rate=+42.86, average_return=+0.7469, max_drawdown=+50.2716. confidence=strong.",mining,,pertambangan,
TLKM,hold_3_mintrades_10,3,10,0.0,strong,5.911300000000001,True,105,41.9,41.9048,-0.4382,43.9832,29.4843,"Config hold_3_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=3, min_trades=10, total_trades=105, buffered_win_rate=+41.90, average_return=-0.4382, max_drawdown=+43.9832. confidence=strong.",telco,,telekomunikasi,
GOTO,hold_5_mintrades_10,5,10,0.0,strong,7.999999999999998,True,31,32.26,32.2581,-1.7196,47.7039,21.5265,"Config hold_5_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=5, min_trades=10, total_trades=31, buffered_win_rate=+32.26, average_return=-1.7196, max_drawdown=+47.7039. confidence=strong.",technology,,teknologi,
ICBP,hold_3_mintrades_10,3,10,0.0,moderate,2.9712999999999994,True,112,44.64,44.6429,-0.173,22.9422,41.4893,"Config hold_3_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=3, min_trades=10, total_trades=112, buffered_win_rate=+44.64, average_return=-0.1730, max_drawdown=+22.9422. confidence=moderate.",consumer,,konsumsi,
UNVR,hold_3_mintrades_10,3,10,0.0,moderate,2.0749999999999957,True,83,40.96,40.9639,-0.2242,31.7623,35.8475,"Config hold_3_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=3, min_trades=10, total_trades=83, buffered_win_rate=+40.96, average_return=-0.2242, max_drawdown=+31.7623. confidence=moderate.",consumer,,konsumsi,
BUMI,hold_7_mintrades_10,7,10,0.0,moderate,1.6733000000000011,True,76,46.05,46.0526,4.9446,74.3331,29.0107,"Config hold_7_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=7, min_trades=10, total_trades=76, buffered_win_rate=+46.05, average_return=+4.9446, max_drawdown=+74.3331. confidence=moderate.",mining,,pertambangan,
INDF,hold_7_mintrades_10,7,10,0.0,low,0.8352000000000004,True,73,60.27,60.274,0.851,20.4279,49.9958,"Config hold_7_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=7, min_trades=10, total_trades=73, buffered_win_rate=+60.27, average_return=+0.8510, max_drawdown=+20.4279. confidence=low.",consumer,,konsumsi,
BBRI,hold_5_mintrades_10,5,10,0.0,low,0.15319999999999823,True,93,46.24,46.2366,0.3122,21.1476,44.0777,"Config hold_5_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=5, min_trades=10, total_trades=93, buffered_win_rate=+46.24, average_return=+0.3122, max_drawdown=+21.1476. confidence=low.",finance,,perbankan,
BMRI,hold_7_mintrades_10,7,10,0.0,low,0.579500000000003,True,103,51.46,51.4563,0.4776,26.9804,43.1407,"Config hold_7_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=7, min_trades=10, total_trades=103, buffered_win_rate=+51.46, average_return=+0.4776, max_drawdown=+26.9804. confidence=low.",finance,,perbankan,
ADRO,hold_5_mintrades_10,5,10,0.0,low,0.053000000000000824,True,116,39.66,39.6552,-0.0043,63.5705,20.1006,"Config hold_5_mintrades_10 dipilih karena score redesign baseline tertinggi dengan hold_period=5, min_trades=10, total_trades=116, buffered_win_rate=+39.66, average_return=-0.0043, max_drawdown=+63.5705. confidence=low.",energy,,energi,
