ticker,config_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,applied_strict_mode,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
ADRO,hold_5_mintrades_10,5,10,0.0,1.5,False,116,39.66,39.6552,-0.0043,63.5705,True,11.8858,40.0,31.7853,0.0,20.1006,energy,,energi,
ADRO,hold_7_mintrades_10,7,10,0.0,1.5,False,104,47.12,47.1154,0.2453,69.4006,True,14.7479,40.0,34.7003,0.0,20.0476,energy,,energi,
ADRO,hold_3_mintrades_10,3,10,0.0,1.5,False,139,43.88,43.8849,-0.3568,73.8787,True,12.2735,40.0,36.9393,0.0,15.3341,energy,,energi,
ADRO,hold_5_mintrades_8,5,8,0.0,1.5,False,116,39.66,39.6552,-0.0043,63.5705,True,11.8858,32.0,31.7853,0.0,12.1006,energy,,energi,
ADRO,hold_7_mintrades_8,7,8,0.0,1.5,False,104,47.12,47.1154,0.2453,69.4006,True,14.7479,32.0,34.7003,0.0,12.0476,energy,,energi,
ADRO,hold_3_mintrades_8,3,8,0.0,1.5,False,139,43.88,43.8849,-0.3568,73.8787,True,12.2735,32.0,36.9393,0.0,7.3341,energy,,energi,
ADRO,hold_5_mintrades_5,5,5,0.0,1.5,False,116,39.66,39.6552,-0.0043,63.5705,True,11.8858,20.0,31.7853,0.0,0.1006,energy,,energi,
ADRO,hold_7_mintrades_5,7,5,0.0,1.5,False,104,47.12,47.1154,0.2453,69.4006,True,14.7479,20.0,34.7003,0.0,0.0476,energy,,energi,
ADRO,hold_3_mintrades_5,3,5,0.0,1.5,False,139,43.88,43.8849,-0.3568,73.8787,True,12.2735,20.0,36.9393,0.0,-4.6659,energy,,energi,
ASII,hold_5_mintrades_10,5,10,0.0,1.5,False,86,47.67,47.6744,0.3842,19.4098,True,15.2628,40.0,9.7049,0.0,45.5579,automotive,,otomotif,
ASII,hold_7_mintrades_10,7,10,0.0,1.5,False,82,41.46,41.4634,0.1915,26.5863,True,12.9178,40.0,13.2932,0.0,39.6246,automotive,,otomotif,
ASII,hold_5_mintrades_8,5,8,0.0,1.5,False,86,47.67,47.6744,0.3842,19.4098,True,15.2628,32.0,9.7049,0.0,37.5579,automotive,,otomotif,
ASII,hold_7_mintrades_8,7,8,0.0,1.5,False,82,41.46,41.4634,0.1915,26.5863,True,12.9178,32.0,13.2932,0.0,31.6246,automotive,,otomotif,
ASII,hold_3_mintrades_10,3,10,0.0,1.5,False,100,38.0,38.0,-0.4293,48.4566,True,10.3268,40.0,24.2283,0.0,26.0985,automotive,,otomotif,
ASII,hold_5_mintrades_5,5,5,0.0,1.5,False,86,47.67,47.6744,0.3842,19.4098,True,15.2628,20.0,9.7049,0.0,25.5579,automotive,,otomotif,
ASII,hold_7_mintrades_5,7,5,0.0,1.5,False,82,41.46,41.4634,0.1915,26.5863,True,12.9178,20.0,13.2932,0.0,19.6246,automotive,,otomotif,
ASII,hold_3_mintrades_8,3,8,0.0,1.5,False,100,38.0,38.0,-0.4293,48.4566,True,10.3268,32.0,24.2283,0.0,18.0985,automotive,,otomotif,
ASII,hold_3_mintrades_5,3,5,0.0,1.5,False,100,38.0,38.0,-0.4293,48.4566,True,10.3268,20.0,24.2283,0.0,6.0984,automotive,,otomotif,
