subset_id,subset_type,subset_label,group_field,group_value,tickers,observation_window,window_label,ticker_count,date_start,date_end,active_total_trades,candidate_total_trades,delta_total_trades,active_win_rate_mean,candidate_win_rate_mean,delta_win_rate_mean,active_average_return_mean,candidate_average_return_mean,delta_average_return_mean,active_max_drawdown_mean,candidate_max_drawdown_mean,delta_max_drawdown_mean,active_score_mean,candidate_score_mean,delta_score_mean,active_eligible_ticker_count,candidate_eligible_ticker_count,coverage_improved,candidate_better_than_active,noise_risk,subset_stable_snapshot,stable_across_windows
best_subset_bmri_goto,subset,BMRI|GOTO,,,BMRI|GOTO,1,last_1_slice,2,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
best_subset_bmri_goto,subset,BMRI|GOTO,,,BMRI|GOTO,2,last_2_slice,2,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
best_subset_bmri_goto,subset,BMRI|GOTO,,,BMRI|GOTO,3,last_3_slice,2,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
best_subset_bmri_goto,subset,BMRI|GOTO,,,BMRI|GOTO,4,last_4_slice,2,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
best_subset_bmri_goto,subset,BMRI|GOTO,,,BMRI|GOTO,5,last_5_slice,2,2026-01-12,2026-04-11,1,3,2,0.0,50.0,50.0,-3.2998,26.00665,29.30645,0.0,3.2998,3.2998,-38.4995,53.281749999999995,91.78125,0,0,False,True,True,False,False
group_sector_perbankan,group,sector:perbankan,sector,perbankan,BBCA|BBRI|BMRI,1,last_1_slice,3,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
group_sector_perbankan,group,sector:perbankan,sector,perbankan,BBCA|BBRI|BMRI,2,last_2_slice,3,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
group_sector_perbankan,group,sector:perbankan,sector,perbankan,BBCA|BBRI|BMRI,3,last_3_slice,3,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
group_sector_perbankan,group,sector:perbankan,sector,perbankan,BBCA|BBRI|BMRI,4,last_4_slice,3,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
group_sector_perbankan,group,sector:perbankan,sector,perbankan,BBCA|BBRI|BMRI,5,last_5_slice,3,2026-01-12,2026-04-11,1,2,1,0.0,0.0,0.0,-2.1998666666666664,-1.9604666666666668,0.2393999999999996,0.0,2.1998666666666664,2.1998666666666664,-36.99966666666666,-34.8911,2.108566666666661,0,0,False,True,True,False,False
recommended_watchlist,subset,recommended_watchlist,,,BMRI|GOTO|BBCA|BBRI,1,last_1_slice,4,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
recommended_watchlist,subset,recommended_watchlist,,,BMRI|GOTO|BBCA|BBRI,2,last_2_slice,4,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
recommended_watchlist,subset,recommended_watchlist,,,BMRI|GOTO|BBCA|BBRI,3,last_3_slice,4,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
recommended_watchlist,subset,recommended_watchlist,,,BMRI|GOTO|BBCA|BBRI,4,last_4_slice,4,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
recommended_watchlist,subset,recommended_watchlist,,,BMRI|GOTO|BBCA|BBRI,5,last_5_slice,4,2026-01-12,2026-04-11,1,3,2,0.0,25.0,25.0,-1.6499,13.003325,14.653225,0.0,1.6499,1.6499,-36.24975,9.640874999999998,45.890625,0,0,False,True,True,False,False
ticker_bbca,ticker,BBCA,,,BBCA,1,last_1_slice,1,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbca,ticker,BBCA,,,BBCA,2,last_2_slice,1,2026-03-11,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbca,ticker,BBCA,,,BBCA,3,last_3_slice,1,2026-02-23,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbca,ticker,BBCA,,,BBCA,4,last_4_slice,1,2026-02-05,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbca,ticker,BBCA,,,BBCA,5,last_5_slice,1,2026-01-12,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
ticker_bbri,ticker,BBRI,,,BBRI,1,last_1_slice,1,2026-03-27,2026-04-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0,0,False,False,True,False,False
