ticker,rule_id,candidate_id,entry_rule,comparison_role,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,candidate_signal_count,candidate_total_trades,candidate_eligible_for_analysis,win_rate,buffered_win_rate,average_return,max_drawdown,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
ADRO,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,13,5,True,20.0,20.0,-3.5549,15.6276,-3.8872,17.5,7.0324,0.0,6.5803,energy,,energi,
ADRO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,19,10,True,50.0,50.0,-0.8457,18.0661,10.3857,17.5,8.1297,0.0,19.756,energy,,energi,
ADRO,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,44,13,True,38.46,38.4615,-0.4155,15.6785,8.5766,17.5,7.0553,0.0,19.0213,energy,,energi,
ADRO,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,15,7,True,28.57,28.5714,-2.6989,18.0811,0.3956,17.5,8.1365,0.0,9.7591,energy,,energi,
ASII,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,3,1,False,0.0,0.0,-4.7909,0.0,-11.9772,3.5,0.0,30.0,-38.4772,automotive,,otomotif,
ASII,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,26,9,True,33.33,33.3333,-1.6966,13.7939,4.0918,17.5,6.2073,0.0,15.3846,automotive,,otomotif,
ASII,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,close_gt_ema20_and_bullish_candle,v3_candidate,3,5,0.0,1.5,17,6,True,16.67,16.6667,-1.3236,6.8493,0.8577,17.5,3.0822,0.0,15.2755,automotive,,otomotif,
ASII,baseline_v3_ema20_volume_relaxed,baseline_v3_ema20_volume_relaxed,close_gt_ema20_and_volume_spike_relaxed,v3_candidate,3,5,0.0,1.5,6,3,False,0.0,0.0,-5.1898,8.9141,-12.9745,10.5,4.0113,22.0,-28.4858,automotive,,otomotif,
BBCA,baseline_reference,baseline_v2_hold3_with_trend_guard,close_gt_ema50_and_bullish_candle,baseline_reference,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBCA,baseline_v3_ema20_trend,baseline_v3_ema20_trend,close_gt_ema20,v3_candidate,3,5,0.0,1.5,12,5,True,20.0,20.0,-2.2556,11.1584,-0.639,17.5,5.0213,0.0,11.8397,finance,,perbankan,
