ticker,variant_id,candidate_id,comparison_role,entry_rule,entry_anchor_rule,quality_gate_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,candidate_signal_count,candidate_total_trades,candidate_eligible_for_analysis,win_rate,buffered_win_rate,average_return,max_drawdown,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
ADRO,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,13,5,True,20.0,20.0,-3.5549,15.6276,-3.8872,17.5,7.0324,0.0,6.5803,energy,,energi,
ADRO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,19,10,True,50.0,50.0,-0.8457,18.0661,10.3857,17.5,8.1297,0.0,19.756,energy,,energi,
ADRO,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,8,7,True,42.86,42.8571,0.072,15.0712,10.8943,17.5,6.782,0.0,21.6122,energy,,energi,
ADRO,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,7,7,True,28.57,28.5714,-1.3033,18.5407,3.8846,17.5,8.3433,0.0,13.0413,energy,,energi,
ADRO,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,10,8,True,25.0,25.0,-1.4168,20.3512,2.708,17.5,9.158,0.0,11.05,energy,,energi,
ASII,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,3,1,False,0.0,0.0,-4.7909,0.0,-11.9772,3.5,0.0,30.0,-38.4772,automotive,,otomotif,
ASII,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,17,6,True,16.67,16.6667,-1.3236,6.8493,0.8577,17.5,3.0822,0.0,15.2755,automotive,,otomotif,
ASII,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,6,4,False,0.0,0.0,-4.4438,14.7871,-11.1095,14.0,6.6542,18.0,-21.7637,automotive,,otomotif,
ASII,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,6,4,False,0.0,0.0,-4.4438,14.7871,-11.1095,14.0,6.6542,18.0,-21.7637,automotive,,otomotif,
ASII,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,3,3,False,0.0,0.0,-3.7758,8.9141,-9.4395,10.5,4.0113,22.0,-24.9508,automotive,,otomotif,
BBCA,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBCA,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,7,5,True,0.0,0.0,-4.1312,11.1584,-10.328,17.5,5.0213,0.0,2.1507,finance,,perbankan,
BBCA,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,4,2,False,0.0,0.0,-3.6709,2.5362,-9.1773,7.0,1.1413,26.0,-29.3185,finance,,perbankan,
BBCA,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,4,2,False,0.0,0.0,-3.6709,2.5362,-9.1773,7.0,1.1413,26.0,-29.3185,finance,,perbankan,
BBCA,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,4,2,False,0.0,0.0,-3.6709,2.5362,-9.1773,7.0,1.1413,26.0,-29.3185,finance,,perbankan,
BBRI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,finance,,perbankan,
BBRI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,11,6,True,16.67,16.6667,-6.628,27.7049,-12.4033,17.5,12.4672,0.0,-7.3705,finance,,perbankan,
BBRI,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,7,4,False,0.0,0.0,-10.9745,28.3872,-27.4363,14.0,12.7742,18.0,-44.2105,finance,,perbankan,
BBRI,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,7,4,False,0.0,0.0,-10.9745,28.3872,-27.4363,14.0,12.7742,18.0,-44.2105,finance,,perbankan,
BBRI,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,6,3,False,0.0,0.0,-11.0771,19.8364,-27.6928,10.5,8.9264,22.0,-48.1191,finance,,perbankan,
BMRI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,2,2,False,0.0,0.0,-5.8814,6.5996,-14.7035,7.0,2.9698,26.0,-36.6733,finance,,perbankan,
BMRI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,10,6,True,16.67,16.6667,-5.2525,28.1513,-8.9646,17.5,12.6681,0.0,-4.1327,finance,,perbankan,
BMRI,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,8,6,True,16.67,16.6667,-5.2525,28.1513,-8.9646,17.5,12.6681,0.0,-4.1327,finance,,perbankan,
BMRI,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,8,6,True,16.67,16.6667,-5.2525,28.1513,-8.9646,17.5,12.6681,0.0,-4.1327,finance,,perbankan,
BMRI,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,8,6,True,16.67,16.6667,-5.2525,28.1513,-8.9646,17.5,12.6681,0.0,-4.1327,finance,,perbankan,
BUMI,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
BUMI,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,4,2,False,50.0,50.0,-3.7737,0.0,3.0658,7.0,0.0,26.0,-15.9342,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,4,2,False,50.0,50.0,-3.7737,0.0,3.0658,7.0,0.0,26.0,-15.9342,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,4,2,False,50.0,50.0,-3.7737,0.0,3.0658,7.0,0.0,26.0,-15.9342,mining,,pertambangan,
BUMI,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,4,2,False,50.0,50.0,-3.7737,0.0,3.0658,7.0,0.0,26.0,-15.9342,mining,,pertambangan,
DEWA,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,mining,,pertambangan,
DEWA,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,6,2,False,0.0,0.0,-2.6036,2.0576,-6.509,7.0,0.9259,26.0,-26.4349,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,2,2,False,0.0,0.0,-2.6036,2.0576,-6.509,7.0,0.9259,26.0,-26.4349,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,2,2,False,0.0,0.0,-2.6036,2.0576,-6.509,7.0,0.9259,26.0,-26.4349,mining,,pertambangan,
DEWA,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,2,2,False,0.0,0.0,-2.6036,2.0576,-6.509,7.0,0.9259,26.0,-26.4349,mining,,pertambangan,
GOTO,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,2,1,False,100.0,100.0,57.8947,0.0,169.7368,3.5,0.0,30.0,143.2368,technology,,teknologi,
GOTO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,8,5,True,60.0,60.0,22.0892,18.4332,70.223,17.5,8.2949,0.0,79.4281,technology,,teknologi,
GOTO,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,3,5,0.0,1.5,2,2,False,50.0,50.0,104.2694,0.0,273.1735,7.0,0.0,26.0,254.1735,technology,,teknologi,
GOTO,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,4,3,False,66.67,66.6667,83.9294,15.7143,226.4902,10.5,7.0714,22.0,207.9187,technology,,teknologi,
GOTO,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,5,3,False,66.67,66.6667,32.6394,15.7143,98.2652,10.5,7.0714,22.0,79.6937,technology,,teknologi,
TLKM,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,3,5,0.0,1.5,1,1,False,0.0,0.0,-1.2346,0.0,-3.0865,3.5,0.0,30.0,-29.5865,telco,,telekomunikasi,
TLKM,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,3,5,0.0,1.5,15,8,True,37.5,37.5,-1.5212,12.6999,5.572,17.5,5.715,0.0,17.357,telco,,telekomunikasi,
TLKM,baseline_v4_quality_gate_guard_confirmed,baseline_v4_quality_gate_guard_confirmed,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_anchor_confirmation,3,5,0.0,1.5,7,4,False,50.0,50.0,0.6728,1.2346,14.182,14.0,0.5556,18.0,9.6264,telco,,telekomunikasi,
TLKM,baseline_v4_quality_gate_guard_volatility_floor,baseline_v4_quality_gate_guard_volatility_floor,v4_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_plus_volatility_floor,3,5,0.0,1.5,6,4,False,50.0,50.0,0.6728,1.2346,14.182,14.0,0.5556,18.0,9.6264,telco,,telekomunikasi,
