ticker,rows,date_start,date_end,mean_volume,median_volume,return_volatility_pct,article_count_total,article_days,news_density_pct,sector,category,company_name,news_segment,sentiment_segment,liquidity_segment,volatility_segment
ADRO,2597,2008-07-31,2026-04-22,182498378.49288,62534100.0,5.35106,16.0,9,0.34655,energi,energy,Adaro Energy Indonesia Tbk,mid_news,sentiment_rich,thin_sparse,higher_volatility
ASII,2690,2000-10-31,2026-04-22,179273935.55019,37753200.0,4.33759,12.0,6,0.22305,otomotif,automotive,Astra International Tbk,low_news,sentiment_poor,thin_sparse,mixed_volatility
BBCA,2647,2004-06-30,2026-04-22,299012512.40272,80029000.0,2.79329,22.0,8,0.30223,perbankan,finance,Bank Central Asia Tbk,high_news,sentiment_poor,liquid_active,lower_volatility
BBRI,2654,2003-11-30,2026-04-22,513922426.18274,146509889.5,3.90651,14.0,9,0.33911,perbankan,finance,Bank Rakyat Indonesia Tbk,mid_news,sentiment_rich,liquid_active,mixed_volatility
BMRI,2658,2003-07-31,2026-04-22,364439997.79533,93490600.0,3.91046,36.0,9,0.3386,perbankan,finance,Bank Mandiri Tbk,high_news,sentiment_rich,liquid_active,mixed_volatility
BUMI,2683,2001-06-30,2026-04-22,2096534414.64778,426332200.0,10.57845,24.0,7,0.2609,pertambangan,mining,Bumi Resources Tbk,high_news,sentiment_poor,liquid_active,higher_volatility
DEWA,2608,2007-09-30,2026-04-22,465744552.3589,3662450.0,6.406,15.0,9,0.34509,pertambangan,mining,Darma Henwa Tbk,mid_news,sentiment_rich,thin_sparse,higher_volatility
GOTO,1171,2022-04-10,2026-04-22,5811659520.40991,3209633400.0,6.17293,15.0,9,0.76857,teknologi,technology,GoTo Gojek Tokopedia Tbk,mid_news,sentiment_rich,liquid_active,higher_volatility
ICBP,2690,2000-10-31,2026-04-22,61312736.15465,5142250.0,3.76029,11.0,8,0.2974,konsumsi,consumer,Indofood CBP Sukses Makmur Tbk,low_news,sentiment_poor,thin_sparse,lower_volatility
INDF,2691,2000-10-31,2026-04-22,45220520.42512,8229600.0,3.81806,9.0,8,0.29729,konsumsi,consumer,Indofood Sukses Makmur Tbk,low_news,sentiment_poor,thin_sparse,lower_volatility
TLKM,2643,2004-09-30,2026-04-22,296517504.50624,92727600.0,3.07066,19.0,11,0.41619,telekomunikasi,telco,Telkom Indonesia Tbk,high_news,sentiment_rich,liquid_active,lower_volatility
UNVR,2656,2003-09-30,2026-04-22,41302835.98833,13051200.0,4.13298,11.0,7,0.26355,konsumsi,consumer,Unilever Indonesia Tbk,low_news,sentiment_poor,thin_sparse,mixed_volatility
