row_type,candidate_id,segment_role,tested_segment,segment_field,segment_value,ticker,fold_id,fold_start,fold_end,warmup_bars,fold_size_bars,entry_rule,hold_period,min_trades_threshold,applied_threshold,candidate_signal_count,candidate_total_trades,win_rate,average_return,max_drawdown,score,trade_return_sum,ticker_count,active_ticker_count,positive_ticker_count,mean_average_return_all,mean_average_return_active,trade_weighted_average_return,median_average_return_active,active_fold_count,positive_fold_count,positive_fold_share,top_abs_pnl_share,top_positive_pnl_share,outlier_bias_ok,ticker_consistency_ok,oos_stability_ok,robustness_check_passed
segment_fold,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,__segment__,1.0,2016-05-24,2017-08-24,21,313,close_gt_ema20_and_bullish_candle,3,5,,474,218,,,,,,5.0,5.0,,0.4618,0.4618,0.3298,,,,,,,,,,
segment_fold,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,__segment__,2.0,2017-08-25,2018-11-06,21,313,close_gt_ema20_and_bullish_candle,3,5,,384,182,,,,,,5.0,5.0,,0.0063,0.0063,-0.0298,,,,,,,,,,
segment_fold,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,__segment__,3.0,2018-11-07,2020-01-24,21,313,close_gt_ema20_and_bullish_candle,3,5,,382,186,,,,,,5.0,5.0,,-0.524,-0.524,-0.3375,,,,,,,,,,
ticker_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,ADRO,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,2.0,637,307,42.67,-0.0286,58.1555,1.926,-8.7954,,,,,,,,,,,,,,,,
ticker_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,ASII,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,2.0,610,293,43.34,-0.1484,64.2589,-0.9525,-43.4778,,,,,,,,,,,,,,,,
ticker_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BBCA,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,2.0,723,341,44.57,-0.149,53.7262,4.0932,-50.819,,,,,,,,,,,,,,,,
ticker_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,BUMI,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,2.0,416,215,36.28,0.6615,68.9601,-2.8083,142.2251,,,,,,,,,,,,,,,,
ticker_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,UNVR,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,2.0,568,278,39.21,-0.3588,79.793,-9.5014,-99.7458,,,,,,,,,,,,,,,,
segment_oos_summary,baseline_v3_ema20_trend_guard,primary,sentiment_segment=sentiment_poor,sentiment_segment,sentiment_poor,__segment__,,,,21,313,close_gt_ema20_and_bullish_candle,3,5,,2954,1434,,,,-1.4486,,5.0,5.0,1.0,-0.0047,-0.0047,-0.0423,-0.1484,3.0,1.0,0.3333,0.4122,1.0,True,False,False,False
segment_fold,baseline_v3_ema20_trend_guard,supporting,volatility_segment=mixed_volatility,volatility_segment,mixed_volatility,__segment__,1.0,2016-05-24,2017-08-24,21,313,close_gt_ema20_and_bullish_candle,3,5,,413,184,,,,,,4.0,4.0,,0.1998,0.1998,0.1769,,,,,,,,,,
