slice_id,slice_label,slice_group,date_start,date_end,slice_date_count,variant_id,variant_label,score_column,selection_mode,top_pct,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,10.0,0,13,7.8692,0.0,9537,4889,50.4202,-0.6731,0.2682,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,12.0,0,16,9.366,0.0,10970,5557,57.5342,-0.838,-0.0237,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_vol_adjusted_return_20d,Top 25% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.25,10.0,0,13,7.7749,0.0,9428,4908,49.345,-0.288,-0.0908,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,6.0,0,10,5.2162,0.0,2215,1097,42.2018,-0.91,0.1309,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,8.0,0,12,6.2293,0.0,2598,1266,50.0,-1.6033,0.1549,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_vol_adjusted_return_20d,Top 25% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.25,6.0,0,10,5.0047,0.0,2172,1109,41.8605,-0.903,-0.002,2,"['JSMR', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,12.0,0,13,9.74,0.0,3759,1957,47.8364,-0.1226,-0.0036,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,14.0,0,15,11.5876,0.0,4347,2248,53.0173,-0.7232,-0.0258,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_vol_adjusted_return_20d,Top 25% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.25,12.0,0,13,9.6687,0.0,3715,1977,45.3891,-1.1456,-0.1247,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,0,13,8.6517,0.0,3563,1831,55.7143,-1.8745,0.4955,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,0,16,10.2816,0.0,4025,2037,62.5,-1.0418,-0.0544,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_vol_adjusted_return_20d,Top 25% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.25,13.0,0,13,8.6517,0.0,3541,1818,56.1404,-0.8129,-0.0689,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,3,13,11.8554,0.0,2913,1571,59.5238,-0.1849,1.1343,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,4,16,14.1226,0.0,3269,1742,65.3061,0.9143,0.1174,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_vol_adjusted_return_20d,Top 25% by return_20d / vol20,rs_score_vol_adjusted_return_20d,top_pct,0.25,13.0,3,13,11.8042,0.0,2926,1566,59.1837,0.518,0.0515,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,13.0,3,13,11.8418,0.0,3587,1919,50.6024,-0.2565,0.088,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,15.0,4,16,13.9702,0.0,4076,2157,56.6667,-0.752,0.1841,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
