slice_id,slice_label,slice_group,date_start,date_end,slice_date_count,variant_id,variant_label,score_column,selection_mode,top_pct,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,10.0,0,13,7.8692,0.0,9537,4889,50.4202,-0.6731,0.2682,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,rs_score_return_20d,top_pct_micro,0.25,10.0,0,12,7.3447,0.0,8978,4612,48.9011,-0.5841,0.0937,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,rs_score_return_20d,top_pct_micro,0.25,10.0,0,13,7.8692,0.0,9537,4889,50.4202,-0.6731,0.2682,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,6.0,0,10,5.2162,0.0,2215,1097,42.2018,-0.91,0.1309,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,rs_score_return_20d,top_pct_micro,0.25,6.0,0,10,4.8537,0.0,2072,1033,40.0,-1.1272,0.0306,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,rs_score_return_20d,top_pct_micro,0.25,6.0,0,10,5.2162,0.0,2215,1097,42.2018,-0.91,0.1309,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,12.0,0,13,9.74,0.0,3759,1957,47.8364,-0.1226,-0.0036,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,rs_score_return_20d,top_pct_micro,0.25,11.0,0,12,9.1943,0.0,3581,1872,45.373,0.0016,0.0118,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,rs_score_return_20d,top_pct_micro,0.25,12.0,0,13,9.74,0.0,3759,1957,47.8364,-0.1226,-0.0036,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,13.0,0,13,8.6517,0.0,3563,1831,55.7143,-1.8745,0.4955,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,rs_score_return_20d,top_pct_micro,0.25,12.0,0,12,7.9865,0.0,3325,1703,50.7246,-2.1549,0.0891,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,rs_score_return_20d,top_pct_micro,0.25,13.0,0,13,8.6517,0.0,3563,1831,55.7143,-1.8745,0.4955,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,13.0,3,13,11.8554,0.0,2913,1571,59.5238,-0.1849,1.1343,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_return_20d_integer_floor_policy,Top 25% by return_20d with integer floor cut per date,rs_score_return_20d,top_pct_micro,0.25,12.0,3,12,11.0564,0.0,2762,1493,55.5556,-0.6455,0.6552,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,top_25pct_return_20d_min_breadth_floor_3_policy,Top 25% by return_20d with minimum active breadth floor 3,rs_score_return_20d,top_pct_micro,0.25,13.0,3,13,11.8554,0.0,2913,1571,59.5238,-0.1849,1.1343,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,top_25pct_return_20d_explicit_tie_ceil_policy,Top 25% by return_20d with explicit tie handling and ceil cut,rs_score_return_20d,top_pct_micro,0.25,13.0,3,13,11.8418,0.0,3587,1919,50.6024,-0.2565,0.088,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
