variant_id,variant_label,ticker,entry_signals,total_trades,avg_return_per_trade,avg_win_rate,avg_holding_period_actual,max_drawdown_per_trade,coverage_collapsed
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),AALI,418,142,-0.1888,40.1408,10.5211,4.8891,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ACES,315,102,-0.875,36.2745,12.0294,5.2206,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ADRO,304,104,0.8922,46.1538,11.3846,5.6224,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),AKRA,267,105,0.325,42.8571,11.6762,5.6965,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),AMRT,289,103,0.8275,43.6893,10.6796,5.8733,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ANTM,329,101,1.5726,44.5545,10.9604,5.503,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ASII,370,141,1.1535,46.0993,11.0426,3.9341,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),AUTO,463,147,1.0072,43.5374,11.2925,4.391,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BBCA,355,143,0.6742,52.4476,11.7972,3.4419,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BBNI,396,132,0.8398,48.4848,11.5076,3.8819,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BBRI,357,134,0.2029,48.5075,11.5299,4.1083,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BBTN,265,89,-0.2972,40.4494,11.5056,4.8728,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BMRI,374,137,1.2556,51.8248,11.9562,3.9363,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BRPT,369,118,5.4962,40.678,9.5932,5.8423,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),BSDE,294,93,0.534,39.7849,11.5699,5.2424,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),CPIN,338,117,1.5819,40.1709,10.8718,4.9995,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),CTRA,467,147,1.4453,40.8163,11.1429,5.6057,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ERAA,211,71,1.0398,40.8451,11.1268,6.3642,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ESSA,244,73,1.8148,39.726,11.3151,6.8728,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),EXCL,343,118,0.0864,41.5254,10.7712,5.1085,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),GGRM,341,126,0.1814,37.3016,10.2778,3.8787,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),GOTO,41,14,-1.633,28.5714,11.5,8.7411,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),HMSP,434,145,0.3972,46.8966,10.7379,4.8286,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ICBP,434,145,1.3528,47.5862,11.8345,4.3317,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),INCO,375,118,1.226,44.9153,10.9237,5.2573,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),INDF,396,132,1.183,46.2121,12.1894,4.3277,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),INDY,313,93,2.7415,43.0108,11.4086,6.5942,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),INTP,404,145,0.6691,39.3103,11.2207,4.705,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ISAT,349,122,1.334,49.1803,11.7623,4.5559,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),ITMG,297,105,1.3456,39.0476,11.3143,4.4135,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),JPFA,470,140,1.3876,45.7143,10.6857,6.6673,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),JSMR,280,99,-0.1783,41.4141,12.0505,4.3322,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),KLBF,390,130,0.891,43.8462,11.8,4.0269,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),LSIP,448,146,1.1752,47.2603,10.9863,4.9457,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),MAPI,384,125,0.4906,48.0,11.592,5.8816,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),MEDC,479,148,2.4906,44.5946,10.973,5.4131,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),MIKA,86,29,2.2447,68.9655,12.931,4.306,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),MNCN,259,94,-0.8554,30.8511,10.6383,7.3812,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),MYOR,475,158,2.1453,45.5696,11.5949,4.1857,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),PGAS,413,131,1.8977,48.0916,12.1679,4.2953,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),PTBA,483,149,1.8997,44.9664,11.8792,4.7949,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),PWON,361,114,1.5381,45.614,11.307,4.5414,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),RALS,348,107,0.7391,43.9252,11.1589,4.9033,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),SCMA,435,138,1.4668,39.8551,11.0725,5.3622,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),SILO,219,67,2.0349,44.7761,11.3881,5.0025,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),SMGR,328,116,0.2018,45.6897,11.5517,4.6757,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),TBIG,228,71,1.6981,46.4789,12.9437,4.844,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),TLKM,307,124,-0.2458,45.1613,10.7661,3.6683,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),TPIA,307,82,5.2766,54.878,11.6707,5.1505,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),UNTR,443,155,0.8849,49.0323,11.5613,4.91,False
atr_trailing_stop_no_layer3_unsized,ATR trailing stop without Layer 3 (unsized baseline),UNVR,409,156,-0.2945,39.1026,10.3846,4.128,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,AALI,418,142,-0.1888,40.1408,10.5211,4.8891,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ACES,315,102,-0.875,36.2745,12.0294,5.2206,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ADRO,304,104,0.8922,46.1538,11.3846,5.6224,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,AKRA,267,105,0.325,42.8571,11.6762,5.6965,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,AMRT,289,103,0.8275,43.6893,10.6796,5.8733,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ANTM,329,101,1.5726,44.5545,10.9604,5.503,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ASII,370,141,1.1535,46.0993,11.0426,3.9341,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,AUTO,463,147,1.0072,43.5374,11.2925,4.391,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BBCA,355,143,0.6742,52.4476,11.7972,3.4419,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BBNI,396,132,0.8398,48.4848,11.5076,3.8819,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BBRI,357,134,0.2029,48.5075,11.5299,4.1083,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BBTN,265,89,-0.2972,40.4494,11.5056,4.8728,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BMRI,374,137,1.2556,51.8248,11.9562,3.9363,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BRPT,369,118,5.4962,40.678,9.5932,5.8423,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,BSDE,294,93,0.534,39.7849,11.5699,5.2424,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,CPIN,338,117,1.5819,40.1709,10.8718,4.9995,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,CTRA,467,147,1.4453,40.8163,11.1429,5.6057,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ERAA,211,71,1.0398,40.8451,11.1268,6.3642,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ESSA,244,73,1.8148,39.726,11.3151,6.8728,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,EXCL,343,118,0.0864,41.5254,10.7712,5.1085,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,GGRM,341,126,0.1814,37.3016,10.2778,3.8787,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,GOTO,41,14,-1.633,28.5714,11.5,8.7411,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,HMSP,434,145,0.3972,46.8966,10.7379,4.8286,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,ICBP,434,145,1.3528,47.5862,11.8345,4.3317,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,INCO,375,118,1.226,44.9153,10.9237,5.2573,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,INDF,396,132,1.183,46.2121,12.1894,4.3277,False
atr_trailing_stop_no_layer3_sized,ATR trailing stop without Layer 3 + fixed fractional sizing,INDY,313,93,2.7415,43.0108,11.4086,6.5942,False
