variant_id,variant_label,ticker,entry_signals,total_trades,avg_return_per_trade,avg_win_rate,avg_holding_period_actual,max_drawdown_per_trade,coverage_collapsed
baseline_fixed_hold_5d,Baseline fixed hold 5 days,AALI,418,201,0.1978,43.7811,5.0,3.6362,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,ACES,315,152,-0.2243,43.4211,5.0,3.8189,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,ADRO,304,146,-0.016,39.726,5.0,4.7636,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,AKRA,267,147,0.0714,36.7347,5.0,4.3832,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,AMRT,289,139,0.909,41.7266,5.0,4.7069,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,ANTM,329,146,0.521,44.5205,5.0,4.7229,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,ASII,370,189,1.2142,56.6138,5.0,3.1303,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,AUTO,463,214,0.3466,43.9252,5.0,3.2627,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BBCA,355,200,0.1994,49.5,5.0,2.7798,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BBNI,396,198,0.5554,46.4646,5.0,3.2935,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BBRI,357,184,0.1782,46.1957,5.0,3.2846,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BBTN,265,127,0.3965,49.6063,5.0,3.6309,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BMRI,374,196,0.475,50.0,5.0,3.2388,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BRPT,369,153,2.9622,45.098,5.0,5.3476,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,BSDE,294,131,0.9325,49.6183,5.0,3.8154,False
baseline_fixed_hold_5d,Baseline fixed hold 5 days,CPIN,338,166,0.9541,46.988,5.0,4.0091,False
