ticker,rows,date_start,date_end,baseline_total_trades,baseline_win_rate,baseline_average_return,baseline_max_drawdown,volume_spike_total_trades,volume_spike_win_rate,volume_spike_average_return,volume_spike_max_drawdown,baseline_phase_a_total_trades,baseline_phase_a_win_rate,baseline_phase_a_average_return,baseline_phase_a_max_drawdown,phase_a_total_trades,phase_a_win_rate,phase_a_average_return,phase_a_max_drawdown,strict_total_trades,strict_win_rate,strict_average_return,strict_max_drawdown,delta_trades,delta_win_rate,delta_average_return,phase_a_applied_threshold,phase_a_applied_strict_mode,phase_b_candle_confirmation_enabled,phase_b_candle_confirmation_threshold,phase_b_weekly_trend_enabled,phase_b_weekly_trend_method,phase_b_weekly_require_slope_up,phase_b_weekly_data_ready,phase_b_sentiment_momentum_enabled,phase_b_sentiment_momentum_window,phase_b_sentiment_baseline_window,phase_b_sentiment_momentum_threshold,phase_b_sentiment_momentum_mode,phase_b_sentiment_momentum_data_ready,phase_a_baseline_source
BMRI,81,2026-01-12,2026-04-11,11,9.09,-3.3016,33.6172,4,0.0,-6.9834,14.3069,1,0.0,-5.4326,0.0,1,0.0,-5.4326,0.0,,,,,-10.0,-9.09,-2.131,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
GOTO,81,2026-01-12,2026-04-11,9,22.22,47.7629,10.9831,3,0.0,-6.8194,1.8868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-9.0,-22.22,-47.7629,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
BBRI,81,2026-01-12,2026-04-11,11,27.27,-1.5541,19.9012,2,0.0,-4.4315,5.0847,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-11.0,-27.27,1.5541,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
DEWA,56,2026-01-12,2026-04-10,7,28.57,-6.2739,37.4438,1,100.0,2.8807,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-7.0,-28.57,6.2739,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
BUMI,56,2026-01-12,2026-04-10,6,33.33,-8.6729,35.4851,1,100.0,5.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-6.0,-33.33,8.6729,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
ASII,81,2026-01-12,2026-04-11,11,36.36,-1.8082,24.2118,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,,,,,-10.0,-36.36,-1.6139,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
TLKM,81,2026-01-12,2026-04-11,9,44.44,-1.3357,23.0475,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,,,,,-8.0,-44.44,-4.8370999999999995,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
BBCA,81,2026-01-12,2026-04-11,11,45.45,0.1864,4.2289,2,0.0,-3.5429,6.5217,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-11.0,-45.45,-0.1864,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
ADRO,81,2026-01-12,2026-04-11,11,45.45,0.403,6.3291,4,25.0,-0.3859,2.3726,3,0.0,-0.7934,0.3802,3,0.0,-0.7934,0.3802,,,,,-8.0,-45.45,-1.1964000000000001,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
UNVR,81,2026-01-12,2026-04-11,10,50.0,-0.2451,17.5,4,75.0,-0.3445,5.168,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,-10.0,-50.0,0.2451,1.5,False,True,1.0,False,,False,False,False,,,,,False,output/phase_a_baseline_final.json
