group_field,group_value,threshold,ticker_count,eligible_ticker_count,winner_ticker_count,total_trades_sum,total_trades_mean,win_rate_mean,average_return_mean,max_drawdown_mean,mean_score,median_score,trade_retention_vs_threshold_2_0_pct,win_rate_vs_threshold_2_0,average_return_vs_threshold_2_0,max_drawdown_vs_threshold_2_0,aggregate_score_vs_threshold_2_0,sample_status
sector,energi,1.5,1,1,1,3.0,3.0,0.0,-0.7934,0.3802,-36.645,-36.645,150.0,0.0,-0.6033,0.3802,-1.645,insufficient_group_sample
sector,energi,2.0,1,1,0,2.0,2.0,0.0,-0.1901,0.0,-37.0,-37.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,energi,2.5,1,1,0,2.0,2.0,0.0,-0.1901,0.0,-37.0,-37.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,energi,3.0,1,1,0,1.0,1.0,0.0,-0.3802,0.0,-45.5703,-45.5703,50.0,0.0,-0.1901,0.0,-6.5703,insufficient_group_sample
sector,konsumsi,1.5,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
sector,konsumsi,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
sector,konsumsi,2.5,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
sector,konsumsi,3.0,1,1,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,insufficient_group_sample
sector,otomotif,1.5,1,1,0,1.0,1.0,0.0,-3.4221,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,otomotif,2.0,1,1,1,1.0,1.0,0.0,-3.4221,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,otomotif,2.5,1,1,0,1.0,1.0,0.0,-3.4221,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,otomotif,3.0,1,1,0,1.0,1.0,0.0,-3.4221,0.0,-39.0,-39.0,100.0,0.0,0.0,0.0,0.0,insufficient_group_sample
sector,perbankan,1.5,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
sector,perbankan,2.0,3,3,3,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
sector,perbankan,2.5,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
sector,perbankan,3.0,3,3,0,1.0,0.3333333333333333,0.0,-1.8108666666666666,0.0,-48.333333333333336,-53.0,100.0,0.0,0.0,0.0,0.0,enough_sample
sector,pertambangan,1.5,2,2,0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,-12.0,enough_sample
