ticker,rows,date_start,date_end,baseline_total_trades,baseline_win_rate,baseline_average_return,baseline_max_drawdown,volume_spike_total_trades,volume_spike_win_rate,volume_spike_average_return,volume_spike_max_drawdown,baseline_phase_a_total_trades,baseline_phase_a_win_rate,baseline_phase_a_average_return,baseline_phase_a_max_drawdown,phase_a_total_trades,phase_a_win_rate,phase_a_average_return,phase_a_max_drawdown,strict_total_trades,strict_win_rate,strict_average_return,strict_max_drawdown,delta_trades,delta_win_rate,delta_average_return,phase_a_applied_threshold,phase_a_applied_strict_mode,phase_b_candle_confirmation_enabled,phase_b_candle_confirmation_threshold,phase_a_baseline_source,trade_reduction_pct,classification,classification_reason,strict_delta_trades,strict_delta_win_rate,strict_delta_average_return,strict_trade_retention_pct,tuning_hint
ADRO,81,2026-01-12,2026-04-11,11,45.45,0.403,6.3291,3,0.0,-1.0174,0.3802,2,0.0,-0.1901,0.0,2,50.0,0.2115,0.0,2,0.0,-0.1901,0.0,-9.0,4.549999999999997,-0.1915,2.0,False,False,1.0,,-81.81818181818183,netral,Hasil campuran atau perubahannya belum cukup kuat untuk keputusan tegas.,0,-50.0,-0.40159999999999996,100.0,test_1_5
BMRI,81,2026-01-12,2026-04-11,11,9.09,-3.3016,33.6172,2,0.0,-4.5913,3.75,1,0.0,-5.4326,0.0,1,0.0,-5.4326,0.0,1,0.0,-5.4326,0.0,-10.0,-9.09,-2.131,2.0,False,False,1.0,,-90.9090909090909,tidak_cocok,Average return memburuk cukup material setelah Phase A.,0,0.0,0.0,100.0,test_1_5
GOTO,81,2026-01-12,2026-04-11,9,22.22,47.7629,10.9831,2,0.0,-10.2291,1.8868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-9.0,-22.22,-47.7629,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
BBRI,81,2026-01-12,2026-04-11,11,27.27,-1.5541,19.9012,1,0.0,-5.0847,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-11.0,-27.27,1.5541,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
DEWA,56,2026-01-12,2026-04-10,7,28.57,-6.2739,37.4438,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-7.0,-28.57,6.2739,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
BUMI,56,2026-01-12,2026-04-10,6,33.33,-8.6729,35.4851,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-6.0,-33.33,8.6729,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
ASII,81,2026-01-12,2026-04-11,11,36.36,-1.8082,24.2118,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,1,0.0,-3.4221,0.0,-10.0,-36.36,-1.6139,2.0,False,False,1.0,,-90.9090909090909,tidak_cocok,Average return memburuk cukup material setelah Phase A.,0,0.0,0.0,100.0,test_1_5
TLKM,81,2026-01-12,2026-04-11,9,44.44,-1.3357,23.0475,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,1,0.0,-6.1728,0.0,-8.0,-44.44,-4.8371,2.0,False,False,1.0,,-88.88888888888889,tidak_cocok,Average return memburuk cukup material setelah Phase A.,0,0.0,0.0,100.0,test_1_5
BBCA,81,2026-01-12,2026-04-11,11,45.45,0.1864,4.2289,1,0.0,-6.5217,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-11.0,-45.45,-0.1864,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
UNVR,81,2026-01-12,2026-04-11,10,50.0,-0.2451,17.5,4,75.0,-0.3445,5.168,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-10.0,-50.0,0.2451,2.0,False,False,1.0,,-100.0,tidak_cocok,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,0,0.0,0.0,,test_1_5
