ticker,best_threshold,effective_confirmation_threshold,decision_confidence,decision_margin,trade_floor_override,outcome,baseline_total_trades,candidate_total_trades,delta_total_trades,trade_retention_pct,baseline_win_rate,candidate_win_rate,delta_win_rate,baseline_average_return,candidate_average_return,delta_average_return,baseline_max_drawdown,candidate_max_drawdown,delta_max_drawdown,score,selection_reason,category,market_cap_group,sector,beta_group
ASII,1.0,1.5,low,0.0,True,worsen,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,-39.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=100.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",automotive,,otomotif,
BMRI,1.0,1.5,low,0.0,True,worsen,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,-39.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=100.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",finance,,perbankan,
TLKM,1.0,1.5,low,0.0,True,worsen,1,1,0,100.0,0.0,0.0,0.0,-6.1728,-6.1728,0.0,0.0,0.0,0.0,-39.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=100.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",telco,,telekomunikasi,
BBCA,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",finance,,perbankan,
BBRI,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",finance,,perbankan,
BUMI,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",mining,,pertambangan,
DEWA,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",mining,,pertambangan,
GOTO,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",technology,,teknologi,
UNVR,1.0,1.5,low,0.0,True,worsen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=0.0%, delta_win_rate=+0.00, delta_average_return=+0.0000, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",consumer,,konsumsi,
ADRO,1.0,1.5,low,0.0,True,worsen,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,-69.1331,"Threshold 1.0 dipilih karena memberi skor item 5 tertinggi untuk ticker ini. trade_retention=100.0%, delta_win_rate=-33.33, delta_average_return=-0.2677, delta_max_drawdown=+0.0000. Semua kandidat berada di bawah min_trades sehingga confidence rendah.",energy,,energi,
