group_field,group_value,threshold,effective_confirmation_threshold,ticker_count,eligible_ticker_count,improve_count,neutral_count,worsen_count,baseline_total_trades_sum,candidate_total_trades_sum,delta_total_trades_sum,trade_retention_mean_pct,delta_win_rate_mean,delta_average_return_mean,delta_max_drawdown_mean,mean_score,median_score,sample_status,threshold_profile
category,automotive,0.8,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,automotive,1.0,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,automotive,1.2,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,automotive,1.5,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,consumer,0.8,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,consumer,1.0,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,consumer,1.2,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,consumer,1.5,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,energy,0.8,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
category,energy,1.0,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
category,energy,1.2,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
category,energy,1.5,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
category,finance,0.8,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
category,finance,1.0,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
category,finance,1.2,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
category,finance,1.5,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
category,mining,0.8,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
category,mining,1.0,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
category,mining,1.2,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
category,mining,1.5,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
category,technology,0.8,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,technology,1.0,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,technology,1.2,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,technology,1.5,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
category,telco,0.8,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,telco,1.0,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,telco,1.2,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
category,telco,1.5,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,energi,0.8,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
sector,energi,1.0,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
sector,energi,1.2,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
sector,energi,1.5,1.5,1,0,0,0,1,3,3,0,100.0,-33.33,-0.2677,0.0,-69.1331,-69.1331,insufficient_sample,negative
sector,konsumsi,0.8,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,konsumsi,1.0,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,konsumsi,1.2,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,konsumsi,1.5,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,otomotif,0.8,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,otomotif,1.0,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,otomotif,1.2,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,otomotif,1.5,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,perbankan,0.8,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
sector,perbankan,1.0,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
sector,perbankan,1.2,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
sector,perbankan,1.5,1.5,3,0,0,0,3,1,1,0,33.333333333333336,0.0,0.0,0.0,-48.333333333333336,-53.0,enough_sample,negative
sector,pertambangan,0.8,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
sector,pertambangan,1.0,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
sector,pertambangan,1.2,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
sector,pertambangan,1.5,1.5,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,enough_sample,negative
sector,teknologi,0.8,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,teknologi,1.0,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,teknologi,1.2,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,teknologi,1.5,1.5,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-53.0,-53.0,insufficient_sample,negative
sector,telekomunikasi,0.8,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,telekomunikasi,1.0,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,telekomunikasi,1.2,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
sector,telekomunikasi,1.5,1.5,1,0,0,0,1,1,1,0,100.0,0.0,0.0,0.0,-39.0,-39.0,insufficient_sample,negative
