ticker,threshold,effective_confirmation_threshold,rows,date_start,date_end,phase_a_applied_threshold,phase_a_applied_strict_mode,baseline_total_trades,candidate_total_trades,delta_total_trades,trade_retention_pct,baseline_win_rate,candidate_win_rate,delta_win_rate,baseline_average_return,candidate_average_return,delta_average_return,baseline_max_drawdown,candidate_max_drawdown,delta_max_drawdown,eligible_by_min_trades,score_quality_reward,score_trade_penalty,score_drawdown_penalty,score_low_trade_penalty,score,outcome,data_warning_count,data_warnings,category,market_cap_group,sector,beta_group
ADRO,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,False,-34.1331,0.0,0.0,35.0,-69.1331,worsen,0,,energy,,energi,
ADRO,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,False,-34.1331,0.0,0.0,35.0,-69.1331,worsen,0,,energy,,energi,
ADRO,1.2,1.5,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,False,-34.1331,0.0,0.0,35.0,-69.1331,worsen,0,,energy,,energi,
ADRO,1.5,1.5,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,False,-34.1331,0.0,0.0,35.0,-69.1331,worsen,0,,energy,,energi,
ASII,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,automotive,,otomotif,
ASII,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,automotive,,otomotif,
ASII,1.2,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,automotive,,otomotif,
ASII,1.5,1.5,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,39.0,-39.0,worsen,0,,automotive,,otomotif,
BBCA,0.8,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,finance,,perbankan,
BBCA,1.0,1.5,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,12.0,0.0,41.0,-53.0,worsen,0,,finance,,perbankan,
