ticker,config_id,volume_spike_threshold,strict_mode,rows,date_start,date_end,baseline_threshold,baseline_strict_mode,baseline_total_trades,total_trades,delta_total_trades,trade_retention_pct,baseline_win_rate,win_rate,delta_win_rate,baseline_average_return,average_return,delta_average_return,baseline_max_drawdown,max_drawdown,delta_max_drawdown,eligible_by_min_trades,score_quality_reward,score_trade_penalty,score_drawdown_penalty,score_low_trade_penalty,score,outcome,data_warning_count,data_warnings,category,market_cap_group,sector,beta_group
ADRO,threshold_2.0_strict_false,2.0,False,81,2026-01-12,2026-04-11,1.5,False,3,2,-1,66.6667,33.33,50.0,16.67,-0.5257,0.2115,0.7372,0.3802,0.0,-0.3802,False,19.6188,3.3333,0.0,48.0,-31.7145,worsen,0,,energy,,energi,
ADRO,threshold_2.5_strict_false,2.5,False,81,2026-01-12,2026-04-11,1.5,False,3,2,-1,66.6667,33.33,50.0,16.67,-0.5257,0.2115,0.7372,0.3802,0.0,-0.3802,False,19.6188,3.3333,0.0,48.0,-31.7145,worsen,0,,energy,,energi,
ADRO,threshold_1.5_strict_false,1.5,False,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,33.33,0.0,-0.5257,-0.5257,0.0,0.3802,0.3802,0.0,False,0.0,0.0,0.0,45.0,-45.0,worsen,0,,energy,,energi,
ADRO,threshold_1.5_strict_true,1.5,True,81,2026-01-12,2026-04-11,1.5,False,3,3,0,100.0,33.33,0.0,-33.33,-0.5257,-0.7934,-0.2677,0.3802,0.3802,0.0,False,-34.4008,0.0,0.0,45.0,-79.4008,worsen,0,,energy,,energi,
ADRO,threshold_2.0_strict_true,2.0,True,81,2026-01-12,2026-04-11,1.5,False,3,2,-1,66.6667,33.33,0.0,-33.33,-0.5257,-0.1901,0.3356,0.3802,0.0,-0.3802,False,-31.9876,3.3333,0.0,48.0,-83.3209,worsen,0,,energy,,energi,
ADRO,threshold_2.5_strict_true,2.5,True,81,2026-01-12,2026-04-11,1.5,False,3,2,-1,66.6667,33.33,0.0,-33.33,-0.5257,-0.1901,0.3356,0.3802,0.0,-0.3802,False,-31.9876,3.3333,0.0,48.0,-83.3209,worsen,0,,energy,,energi,
ASII,threshold_1.5_strict_false,1.5,False,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
ASII,threshold_1.5_strict_true,1.5,True,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
ASII,threshold_2.0_strict_false,2.0,False,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
ASII,threshold_2.0_strict_true,2.0,True,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
ASII,threshold_2.5_strict_false,2.5,False,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
ASII,threshold_2.5_strict_true,2.5,True,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-3.4221,-3.4221,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,automotive,,otomotif,
BBCA,threshold_1.5_strict_false,1.5,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBCA,threshold_1.5_strict_true,1.5,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBCA,threshold_2.0_strict_false,2.0,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBCA,threshold_2.0_strict_true,2.0,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBCA,threshold_2.5_strict_false,2.5,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBCA,threshold_2.5_strict_true,2.5,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_1.5_strict_false,1.5,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_1.5_strict_true,1.5,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_2.0_strict_false,2.0,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_2.0_strict_true,2.0,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_2.5_strict_false,2.5,False,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BBRI,threshold_2.5_strict_true,2.5,True,81,2026-01-12,2026-04-11,1.5,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,10.0,0.0,54.0,-64.0,worsen,0,,finance,,perbankan,
BMRI,threshold_1.5_strict_false,1.5,False,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,finance,,perbankan,
BMRI,threshold_1.5_strict_true,1.5,True,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,finance,,perbankan,
BMRI,threshold_2.0_strict_false,2.0,False,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,finance,,perbankan,
BMRI,threshold_2.0_strict_true,2.0,True,81,2026-01-12,2026-04-11,1.5,False,1,1,0,100.0,0.0,0.0,0.0,-5.4326,-5.4326,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,51.0,-51.0,worsen,0,,finance,,perbankan,
