group_field,group_value,config_id,best_threshold,best_strict_mode,decision_confidence,decision_margin,ticker_count,eligible_ticker_count,improve_count,neutral_count,worsen_count,trade_retention_mean_pct,delta_win_rate_mean,delta_average_return_mean,delta_max_drawdown_mean,mean_score,median_score,sample_status,recommended_for_group,selection_reason
category,energy,threshold_2.0_strict_false,2.0,False,low,0.0,1,0,0,0,1,66.6667,16.67,0.7372,-0.3802,-31.7145,-31.7145,insufficient_sample,False,"Config threshold_2.0_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+16.67, delta_average_return_mean=+0.7372. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,energi,threshold_2.0_strict_false,2.0,False,low,0.0,1,0,0,0,1,66.6667,16.67,0.7372,-0.3802,-31.7145,-31.7145,insufficient_sample,False,"Config threshold_2.0_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+16.67, delta_average_return_mean=+0.7372. Confidence group masih rendah karena margin tipis atau sample kecil."
category,automotive,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,100.0,0.0,0.0,0.0,-51.0,-51.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
category,telco,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,100.0,0.0,0.0,0.0,-51.0,-51.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,otomotif,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,100.0,0.0,0.0,0.0,-51.0,-51.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,telekomunikasi,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,100.0,0.0,0.0,0.0,-51.0,-51.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
category,finance,threshold_1.5_strict_false,1.5,False,low,0.0,3,0,0,0,3,33.333333333333336,0.0,0.0,0.0,-59.666666666666664,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=3, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,perbankan,threshold_1.5_strict_false,1.5,False,low,0.0,3,0,0,0,3,33.333333333333336,0.0,0.0,0.0,-59.666666666666664,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=3, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
category,consumer,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
category,mining,threshold_1.5_strict_false,1.5,False,low,0.0,2,0,0,0,2,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=2, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
category,technology,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,konsumsi,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,pertambangan,threshold_1.5_strict_false,1.5,False,low,0.0,2,0,0,0,2,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=2, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
sector,teknologi,threshold_1.5_strict_false,1.5,False,low,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,-64.0,-64.0,insufficient_sample,False,"Config threshold_1.5_strict_false dipilih untuk group ini karena mean score adaptive paling baik. ticker_count=1, eligible_ticker_count=0, delta_win_rate_mean=+0.00, delta_average_return_mean=+0.0000. Confidence group masih rendah karena margin tipis atau sample kecil."
