ticker,rows,has_sentiment_columns,article_day_count,article_count_total,article_day_ratio,sentiment_average_std,sentiment_weighted_std,sentiment_average_change_ratio,sentiment_weighted_change_ratio,too_sparse,too_flat,usable_for_momentum,notes
ADRO,81,True,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
ASII,81,True,3,3.0,0.037037,0.081111,0.081111,0.024691,0.024691,True,True,False,"sparse,flat"
BBCA,81,True,2,2.0,0.024691,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
BBRI,81,True,2,3.0,0.024691,0.048333,0.046033,0.024691,0.024691,True,True,False,"sparse,flat"
BMRI,81,True,4,7.0,0.049383,0.087778,0.087778,0.012346,0.012346,True,True,False,"sparse,flat"
BUMI,56,True,1,1.0,0.017857,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
DEWA,56,True,2,17.0,0.035714,0.008726,0.006347,0.017857,0.017857,True,True,False,"sparse,flat"
GOTO,81,True,1,1.0,0.012346,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
TLKM,81,True,3,4.0,0.037037,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
UNVR,81,True,1,3.0,0.012346,0.0,0.0,0.0,0.0,True,True,False,"sparse,flat"
