ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
AADI,GABUNGAN,59,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
AALI,GABUNGAN,26,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
ADMR,GABUNGAN,74,20,LULUS 2/3,,40.0,0.4978549043251774,-0.166013493203396,-0.49127843584635467,True,True,False,2.0
ADRO,GABUNGAN,51,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
AKRA,GABUNGAN,34,18,LULUS 0/3,,22.22222222222222,0.8420226454085975,-0.846703226558556,-1.2501133225093632,False,False,False,0.0
AMMN,GABUNGAN,103,15,LULUS 2/3,,40.0,0.5379893748613781,-0.4950501455839522,-0.6961954563005516,True,True,False,2.0
AMRT,GABUNGAN,68,18,LULUS 1/3,,33.33333333333333,-0.17499452031372167,-1.3834297325621445,-1.19619581357314,True,False,False,1.0
ANTM,GABUNGAN,86,16,LULUS 0/3,,37.5,0.0996544161629351,-0.2750812969837181,-0.7404031647495679,False,False,False,0.0
ARCI,GABUNGAN,102,17,LULUS 2/3,,52.94117647058824,0.8121980106818224,0.35853658536585464,-0.32231205439169464,True,True,False,2.0
ARTO,GABUNGAN,114,19,LULUS 2/3,,52.63157894736842,0.4965805515035257,0.664926749722887,-0.1373155698192821,True,True,False,2.0
ATLA,GABUNGAN,78,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
BAJA,GABUNGAN,65,15,LULUS PENUH,,66.66666666666666,3.1773761350562286,2.7380562178190013,1.1113870596431061,True,True,True,3.0
BBCA,GABUNGAN,16,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
BBRI,GABUNGAN,31,14,LULUS 0/3,,50.0,-0.17877621807999522,-0.023129826628912283,-0.9838645608603924,False,False,False,0.0
BBTN,GABUNGAN,40,22,LULUS 0/3,,27.27272727272727,-0.7008344093740856,-0.66298953357771,-1.3203262028284388,False,False,False,0.0
BIPI,GABUNGAN,140,14,LULUS 1/3,,28.57142857142857,0.13265732546805986,-0.6211054240417226,-1.0590189444113063,True,False,False,1.0
BKSL,GABUNGAN,173,14,LULUS 1/3,,71.42857142857143,0.7829321015223082,0.4034230209693071,-0.40026636238887914,False,True,False,1.0
BMRI,GABUNGAN,35,17,LULUS 0/3,,41.17647058823529,-0.15244055326582892,-0.7244657217059352,-1.0858046130794095,False,False,False,0.0
BNBR,GABUNGAN,199,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
BNGA,GABUNGAN,8,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
BREN,GABUNGAN,165,16,LULUS 2/3,,56.25,1.4923539690845506,0.7192115214883228,-0.0022994673526412976,True,True,False,2.0
BRMS,GABUNGAN,133,16,LULUS 2/3,,50.0,0.7984413813914218,0.44862753490060986,-0.2532833338257893,True,True,False,2.0
