date,ticker,label
2026-07-20,TPIA,win
2026-07-20,TLKM,win
2026-07-20,TINS,win
2026-07-20,RAJA,win
2026-07-20,NCKL,win
2026-07-20,MEDC,win
2026-07-20,KBLV,win
2026-07-20,GTSI,win
2026-07-20,CUAN,win
2026-07-20,CTTH,win
2026-07-20,BUMI,win
2026-07-20,BRPT,win
2026-07-20,BRMS,win
2026-07-20,BNBR,win
2026-07-20,BIPI,win
2026-07-20,ADRO,win
2026-07-20,RANS,loss
2026-07-20,PANI,loss
2026-07-20,JELI,loss
2026-07-20,CBRE,loss
2026-07-20,BREN,loss
2026-07-20,BBTN,loss
2026-07-20,ANTM,loss
2026-07-21,ADRO,win
2026-07-21,AKRA,win
2026-07-21,AMMN,win
2026-07-21,AMRT,win
2026-07-21,ANTM,win
2026-07-21,BIPI,win
2026-07-21,BNBR,win
2026-07-21,BNGA,win
2026-07-21,BRPT,win
2026-07-21,BSDE,win
2026-07-21,BSSR,win
2026-07-21,BUMI,win
2026-07-21,BUVA,win
2026-07-21,CTTH,win
2026-07-21,CUAN,win
2026-07-21,ENRG,win
2026-07-21,GPSO,win
2026-07-21,GTSI,win
2026-07-21,GULA,win
2026-07-21,HMSP,win
2026-07-21,HUMI,win
2026-07-21,ICBP,win
2026-07-21,IMPC,win
2026-07-21,INCO,win
2026-07-21,INDF,win
2026-07-21,INDY,win
2026-07-21,INET,win
2026-07-21,INKP,win
2026-07-21,ITMG,win
2026-07-21,JGLE,win
2026-07-21,KIJA,win
2026-07-21,LSIP,win
2026-07-21,MBMA,win
2026-07-21,MDIA,win
2026-07-21,MEDC,win
2026-07-21,MLPL,win
2026-07-21,NTBK,win
2026-07-21,PADI,win
2026-07-21,PAMG,win
2026-07-21,PANI,win
2026-07-21,PGAS,win
2026-07-21,PNLF,win
2026-07-21,PSAB,win
2026-07-21,SSIA,win
2026-07-21,TKIM,win
2026-07-21,TOBA,win
2026-07-21,TPIA,win
2026-07-21,WIRG,win
2026-07-21,GGRM,loss
2026-07-21,JELI,loss
2026-07-21,PRDL,loss
2026-07-21,TINS,loss
2026-07-21,AALI,draw
2026-07-21,PTBA,draw
2026-07-22,ADMR,win
2026-07-22,ADRO,win
2026-07-22,ANTM,win
2026-07-22,ATLA,win
2026-07-22,BREN,win
2026-07-22,BRMS,win
2026-07-22,BRPT,win
2026-07-22,BUVA,win
2026-07-22,CDIA,win
2026-07-22,CUAN,win
2026-07-22,DOOH,win
2026-07-22,ELSA,win
2026-07-22,ENRG,win
2026-07-22,HRTA,win
2026-07-22,HUMI,win
2026-07-22,INDY,win
2026-07-22,IRSX,win
2026-07-22,JELI,win
2026-07-22,KOKA,win
2026-07-22,MAXI,win
2026-07-22,MEDC,win
2026-07-22,PTRO,win
2026-07-22,TINS,win
2026-07-22,TPIA,win
2026-07-22,WIFI,win
2026-07-22,WMUU,win
2026-07-22,AMMN,loss
2026-07-22,ARCI,loss
2026-07-22,BBCA,loss
2026-07-22,BULL,loss
2026-07-22,CBRE,loss
2026-07-22,DSSA,loss
2026-07-22,MBMA,loss
2026-07-22,MDKA,loss
2026-07-22,PGAS,loss
2026-07-22,RATU,loss
2026-07-22,SSIA,loss
2026-07-22,AADI,draw
2026-07-22,EMTK,draw
2026-07-23,AMMN,win
2026-07-23,BIPI,win
2026-07-23,BRMS,win
2026-07-23,BULL,win
2026-07-23,BUMI,win
2026-07-23,EMTK,win
2026-07-23,FUTR,win
2026-07-23,INCO,win
2026-07-23,IRSX,win
2026-07-23,MDIA,win
2026-07-23,MDKA,win
2026-07-23,MLPL,win
2026-07-23,MLPT,win
2026-07-23,PGAS,win
2026-07-23,PTRO,win
2026-07-23,RMKE,win
2026-07-23,SMIL,win
2026-07-23,TINS,win
2026-07-23,TOWR,win
2026-07-23,TPIA,win
2026-07-23,VKTR,win
2026-07-23,BBRI,loss
2026-07-23,COIN,loss
2026-07-23,ERAA,loss
2026-07-23,PAGI,loss
2026-07-23,BMRI,draw
2026-07-23,ELSA,draw
2026-07-24,BREN,win
2026-07-24,BRPT,win
2026-07-24,GPSO,win
2026-07-24,INDY,win
2026-07-24,MLPT,win
2026-07-24,OILS,win
2026-07-24,REAL,win
2026-07-24,BUVA,loss
2026-07-24,CUAN,loss
2026-07-24,ENRG,loss
2026-07-24,ESSA,loss
2026-07-24,MEDC,loss
2026-07-24,CDIA,draw
2026-07-24,VKTR,draw
2026-07-27,BBTN,win
2026-07-27,INDY,win
2026-07-27,PSAB,win
2026-07-27,RAJA,win
2026-07-27,SSIA,win
2026-07-27,VKTR,win
2026-07-27,WIFI,win
2026-07-27,ENRG,draw
2026-07-27,TINS,draw
2026-07-28,ASII,win
2026-07-28,BAJA,win
2026-07-28,DEWA,win
2026-07-28,GDST,win
2026-07-28,KOTA,win
2026-07-28,MCAS,win
2026-07-28,NTBK,win
2026-07-28,RANS,win
2026-07-28,PTRO,loss
2026-07-29,BACH,win
2026-07-29,BREN,win
2026-07-29,BRPT,win
2026-07-29,BUVA,win
2026-07-29,CUAN,win
2026-07-29,DEWA,win
2026-07-29,ESSA,win
2026-07-29,GGRM,win
2026-07-29,INDY,win
2026-07-29,KOTA,win
2026-07-29,MDIA,win
2026-07-29,PTRO,win
2026-07-29,TPIA,win
2026-07-29,WIFI,win
2026-07-29,AMMN,loss
2026-07-29,BMRI,loss
2026-07-29,ENRG,loss
2026-07-29,RAJA,loss
2026-07-29,TINS,loss
2026-07-29,VKTR,loss
2026-07-29,CDIA,draw
2026-07-29,RATU,draw
2026-07-29,SSIA,draw
2026-07-30,AMMN,win
2026-07-30,ANTM,win
2026-07-30,BACH,win
2026-07-30,BMRT,win
2026-07-30,BNBR,win
