date,open,high,low,close,volume
2026-01-12,3680,3740,3660,3700,215159700
2026-01-13,3700,3730,3670,3720,227620800
2026-01-14,3740,3750,3700,3720,170097000
2026-01-15,3730,3850,3730,3820,407151300
2026-01-19,3850,3900,3810,3840,359652500
2026-01-20,3840,3880,3820,3850,170245800
2026-01-21,3850,3850,3800,3820,273678200
2026-01-22,3850,3850,3790,3810,153742700
2026-01-23,3810,3850,3760,3850,164603900
2026-01-26,3840,3850,3800,3850,120002700
2026-01-27,3850,3850,3780,3820,157633200
2026-01-28,3630,3780,3540,3590,726740400
2026-01-29,3550,3780,3290,3780,781321200
2026-01-30,3780,3890,3740,3810,532329000
2026-02-02,3860,3880,3750,3830,334659200
2026-02-03,3860,3870,3760,3800,201224300
2026-02-04,3820,3880,3800,3870,251005600
2026-02-05,3850,3940,3840,3850,342757200
2026-02-06,3800,3850,3770,3780,279127200
2026-02-09,3790,3800,3710,3770,215606400
2026-02-10,3750,3790,3730,3780,181835800
2026-02-11,3790,3800,3740,3800,147378100
2026-02-12,3780,3790,3760,3790,185678800
2026-02-13,3780,3800,3750,3780,144473700
2026-02-14,3457,3468,3424,3438,2683301
2026-02-15,3365,3365,3348,3352,4965406
2026-02-16,3397,3412,3384,3395,3330321
2026-02-17,3395,3397,3380,3393,651924
2026-02-18,3780,3840,3760,3830,135223700
2026-02-19,3850,3850,3770,3770,154562300
2026-02-20,3790,3870,3780,3840,191533500
2026-02-21,3347,3376,3336,3366,3498582
2026-02-22,3346,3374,3333,3361,452736
2026-02-23,3880,3910,3860,3900,189611200
2026-02-24,3880,3890,3860,3870,191295900
2026-02-25,3880,3980,3880,3970,263027700
2026-02-26,3970,3970,3920,3950,146158100
2026-02-27,3950,3950,3880,3910,263179300
2026-02-28,3377,3380,3357,3364,4282218
2026-03-01,3369,3386,3356,3371,2558494
2026-03-02,3840,3840,3800,3820,204655700
2026-03-03,3820,3840,3770,3770,113600400
2026-03-04,3770,3770,3660,3690,215656600
2026-03-05,3720,3780,3720,3750,96625300
2026-03-06,3750,3750,3670,3670,136987800
2026-03-07,3420,3429,3413,3419,4265357
2026-03-08,3367,3375,3347,3350,3872064
2026-03-09,3590,3630,3560,3570,215587500
2026-03-10,3600,3610,3560,3560,175353400
2026-03-11,3580,3600,3560,3580,100862200
2026-03-12,3580,3610,3570,3570,141366700
2026-03-13,3560,3590,3510,3510,159393900
2026-03-14,3331,3356,3329,3348,1777000
2026-03-15,3448,3460,3426,3428,4521423
2026-03-16,3500,3510,3430,3480,160328700
2026-03-17,3500,3530,3480,3480,204208500
2026-03-18,3396,3427,3389,3414,2320021
2026-03-19,3424,3427,3411,3421,4111113
2026-03-20,3377,3404,3363,3389,3353529
2026-03-21,3351,3371,3340,3367,2901174
2026-03-22,3378,3386,3371,3371,2181738
2026-03-23,3330,3357,3320,3345,1743861
2026-03-24,3414,3434,3403,3429,148391
2026-03-25,3440,3540,3410,3540,379422800
2026-03-26,3540,3570,3480,3490,162060500
2026-03-27,3460,3490,3420,3420,207067900
2026-03-28,3346,3362,3346,3349,2314178
2026-03-29,3427,3446,3426,3436,4321129
2026-03-30,3350,3390,3330,3360,317467700
2026-03-31,3350,3400,3330,3330,298589200
2026-04-01,3400,3440,3330,3350,279604500
2026-04-02,3340,3390,3320,3320,242569200
2026-04-03,3402,3432,3388,3420,4750015
2026-04-04,3444,3453,3427,3430,744674
2026-04-05,3373,3393,3366,3388,2811543
2026-04-06,3340,3360,3290,3310,184143400
2026-04-07,3310,3320,3220,3230,273842700
2026-04-08,3340,3370,3330,3340,416112900
2026-04-09,3310,3330,3260,3280,319141400
2026-04-10,3290,3400,3290,3390,353451500
2026-04-11,3290,3400,3290,3390,353451500
