date,open,high,low,close,volume
2026-01-12,6925,7000,6900,7000,24915100
2026-01-13,7075,7300,7025,7300,65659900
2026-01-14,7200,7225,7025,7125,40658400
2026-01-15,7200,7200,7000,7050,26410300
2026-01-19,7200,7475,7175,7400,51590900
2026-01-20,7350,7375,7225,7275,21167100
2026-01-21,6300,6800,6300,6600,269454100
2026-01-22,6700,6850,6625,6775,70220500
2026-01-23,6800,6900,6650,6825,52227800
2026-01-26,6850,6875,6700,6875,55468700
2026-01-27,6775,6800,6225,6300,145465800
2026-01-28,6200,6475,5775,6175,200262500
2026-01-29,6200,6475,5725,6475,136295200
2026-01-30,6525,6550,6300,6350,101087200
2026-02-02,6350,6400,6175,6275,71571500
2026-02-03,6375,6800,6325,6800,63526500
2026-02-04,6800,6825,6625,6675,58211100
2026-02-05,6725,7000,6725,6950,72792600
2026-02-06,6800,6800,6575,6700,49547300
2026-02-09,6750,6750,6525,6650,34797900
2026-02-10,6700,6850,6650,6850,45371100
2026-02-11,6800,6825,6700,6750,41050100
2026-02-12,6775,6900,6750,6775,26536900
2026-02-13,6775,6775,6575,6650,31212900
2026-02-14,6306,6319,6287,6295,4550191
2026-02-15,6339,6357,6334,6348,1041495
2026-02-16,6354,6366,6337,6347,1081149
2026-02-17,6259,6283,6251,6277,736125
2026-02-18,6750,6750,6650,6700,25858200
2026-02-19,6700,6775,6550,6600,46704000
2026-02-20,6600,6650,6550,6550,28160900
2026-02-21,6257,6264,6248,6257,721309
2026-02-22,6316,6326,6289,6298,2099604
2026-02-23,6625,6650,6550,6625,38075400
2026-02-24,6650,6725,6550,6550,51297100
2026-02-25,6600,6675,6575,6650,45214100
2026-02-26,6700,6725,6575,6725,30901600
2026-02-27,6725,6750,6575,6675,68396400
2026-02-28,6275,6278,6265,6268,1933225
2026-03-01,6274,6297,6271,6286,3217753
2026-03-02,6600,6625,6275,6300,60477400
2026-03-03,6400,6425,6250,6275,31573300
2026-03-04,6275,6325,6000,6150,49747800
2026-03-05,6300,6350,6200,6325,38471400
2026-03-06,6300,6300,6050,6125,38071100
2026-03-07,6326,6345,6314,6336,2645337
2026-03-08,6286,6310,6272,6302,222407
2026-03-09,5900,5900,5800,5850,46625500
2026-03-10,5900,6150,5900,6000,33964900
2026-03-11,6000,6050,5875,5950,18403300
2026-03-12,5975,6050,5900,5950,20628100
2026-03-13,5900,5950,5775,5825,27856000
2026-03-14,6341,6345,6330,6340,1186100
2026-03-15,6352,6361,6338,6345,4972810
2026-03-16,5875,5900,5675,5850,37696400
2026-03-17,5925,5925,5750,5800,89895700
2026-03-18,6263,6279,6259,6273,819992
2026-03-19,6290,6322,6282,6309,3061041
2026-03-20,6259,6274,6259,6269,4910136
2026-03-21,6252,6264,6248,6263,2108419
2026-03-22,6279,6294,6278,6286,758110
2026-03-23,6280,6304,6274,6296,4766531
2026-03-24,6315,6341,6300,6330,3139047
2026-03-25,6300,6600,6100,6600,134276600
2026-03-26,6575,6575,6225,6250,45012000
2026-03-27,6200,6225,6050,6125,32993200
2026-03-28,6245,6272,6238,6260,2866679
2026-03-29,6303,6309,6290,6294,3674308
2026-03-30,6100,6400,6000,6350,48246100
2026-03-31,6350,6350,6175,6250,31516100
2026-04-01,6275,6350,6125,6250,37708800
2026-04-02,6150,6300,6025,6075,37842500
2026-04-03,6267,6286,6256,6283,1074473
2026-04-04,6296,6307,6282,6285,4575334
2026-04-05,6245,6270,6231,6265,4907547
2026-04-06,6075,6125,6025,6100,15705000
2026-04-07,6075,6075,5875,5900,22912400
2026-04-08,6050,6250,6025,6200,28419500
2026-04-09,6150,6175,6050,6175,25785600
2026-04-10,6225,6350,6200,6300,37451300
2026-04-11,6225,6350,6200,6300,37451300
