date,open,high,low,close,volume
2026-01-12,67,67,65,66,3384389300
2026-01-13,66,68,65,67,3132891700
2026-01-14,68,73,68,69,18437372600
2026-01-15,69,70,67,68,5561512700
2026-01-19,67,68,65,66,7028239800
2026-01-20,66,68,65,66,5220116600
2026-01-21,65,66,64,64,7269276700
2026-01-22,64,65,61,62,8304665000
2026-01-23,62,62,58,60,8845549400
2026-01-26,60,62,59,60,4896210800
2026-01-27,60,65,58,65,12307760600
2026-01-28,62,64,58,60,10963550000
2026-01-29,60,63,55,63,15220468500
2026-01-30,63,64,62,64,4190742000
2026-02-02,64,64,60,61,4681091200
2026-02-03,61,63,61,62,2063709800
2026-02-04,62,63,61,62,2039789700
2026-02-05,62,62,60,60,2841007700
2026-02-06,60,60,58,60,2643183600
2026-02-09,60,61,59,60,1596488300
2026-02-10,60,60,58,59,4569551300
2026-02-11,60,61,59,60,3907787700
2026-02-12,60,60,59,60,1419829400
2026-02-13,60,61,59,59,4200024900
2026-02-14,8,20,1,10,2005744
2026-02-15,15,26,2,19,3851934
2026-02-16,3,20,1,10,1654658
2026-02-17,57,58,43,45,1913565
2026-02-18,59,61,58,60,4716637100
2026-02-19,60,61,59,61,2247439900
2026-02-20,61,63,61,61,5194005200
2026-02-21,72,74,54,65,985704
2026-02-22,82,95,75,95,4946818
2026-02-23,62,64,61,62,5794546700
2026-02-24,63,63,60,61,3555906000
2026-02-25,61,62,60,60,1364624900
2026-02-26,60,61,60,60,2397940400
2026-02-27,60,61,59,61,5304076700
2026-02-28,70,91,56,77,4042040
2026-03-01,63,63,41,49,1468505
2026-03-02,59,60,58,59,3939486600
2026-03-03,59,60,58,58,2822721700
2026-03-04,58,58,56,57,5917788000
2026-03-05,57,58,56,57,1945848400
2026-03-06,58,58,55,56,4466807200
2026-03-07,44,53,29,29,4541302
2026-03-08,30,55,27,41,490842
2026-03-09,55,56,53,55,6992951900
2026-03-10,55,57,55,55,3339213800
2026-03-11,56,58,55,57,2671797300
2026-03-12,57,58,55,56,3371578900
2026-03-13,55,56,53,55,3802932400
2026-03-14,99,105,92,93,2970225
2026-03-15,68,83,39,51,776935
2026-03-16,54,54,51,52,6367062200
2026-03-17,52,53,51,51,4306491000
2026-03-18,53,60,46,49,3787683
2026-03-19,58,87,45,77,2228850
2026-03-20,38,52,31,34,181294
2026-03-21,54,66,38,52,1813296
2026-03-22,53,60,48,60,4232981
2026-03-23,17,25,7,10,4838289
2026-03-24,110,111,79,92,3623404
2026-03-25,50,53,50,53,9934206000
2026-03-26,53,53,51,52,4495899400
2026-03-27,51,52,51,51,2800261100
2026-03-28,46,52,20,32,3925679
2026-03-29,96,96,80,81,3731883
2026-03-30,51,52,50,52,3209633400
2026-03-31,51,52,51,51,1837937600
2026-04-01,52,53,51,53,3587278100
2026-04-02,52,53,52,53,1867843400
2026-04-03,12,36,1,30,2076324
2026-04-04,94,100,68,76,315458
2026-04-05,79,92,76,77,2746687
2026-04-06,53,53,51,52,3043071700
2026-04-07,52,52,51,51,2472398300
2026-04-08,52,53,51,52,5218807000
2026-04-09,52,52,51,52,1148415900
2026-04-10,52,52,51,52,3341817300
2026-04-11,52,52,51,52,3341817300
