ticker,sector,category,company_name,interval_type,rows_1d,date_start,date_end,export_source,sentiment_series_included,sentiment_columns,sentiment_alignment,sentiment_fill_policy,sentiment_trade_date_start,sentiment_trade_date_end,sentiment_days_with_articles,sentiment_article_count_total
ADRO,energi,energy,"Adaro Energy Indonesia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
ASII,otomotif,automotive,"Astra International Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
BBCA,perbankan,finance,"Bank Central Asia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
BBRI,perbankan,finance,"Bank Rakyat Indonesia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
BMRI,perbankan,finance,"Bank Mandiri Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
BUMI,pertambangan,mining,"Bumi Resources Tbk",1d,56,2026-01-12,2026-04-10,laravel_stock_prices,no,,,,,,,
DEWA,pertambangan,mining,"Darma Henwa Tbk",1d,56,2026-01-12,2026-04-10,laravel_stock_prices,no,,,,,,,
GOTO,teknologi,technology,"GoTo Gojek Tokopedia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
TLKM,telekomunikasi,telco,"Telkom Indonesia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
UNVR,konsumsi,consumer,"Unilever Indonesia Tbk",1d,81,2026-01-12,2026-04-11,laravel_stock_prices,no,,,,,,,
